Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Buy Prices,Sell Prices
20MICRONS,3,2,1,106512,"26, 34, 30","69, 25, 92"
21STCENMGM,4,1,3,42208,"23, 13, 10, 29","15, 10, 34, 21"
360ONE,1,1,0,53653,254,710
3IINFOLTD,5,1,4,4590,"456, 88, 63, 38, 27","271, 64, 29, 22, 74"
3MINDIA,3,3,0,131893,"1028, 3310, 11958","2767, 8331, 30437"
3PLAND,6,1,5,-1618,"13, 10, 7, 11, 7, 7","9, 7, 20, 8, 5, 4"
5PAISA,1,1,0,52428,149,417
63MOONS,10,3,7,102362,"620, 864, 722, 273, 204, 116, 86, 78, 76, 168","1569, 607, 540, 175, 153, 73, 63, 46, 228, 492"
A2ZINFRA,5,2,3,69825,"12, 26, 14, 6, 5","33, 13, 10, 4, 12"
AAATECH,0,0,0,0,,
AAKASH,2,2,0,137386,"2, 4","5, 13"
AAREYDRUGS,0,0,0,0,,
AARON,1,1,0,51945,21,62
AARTECH,0,0,0,0,,
AARTIDRUGS,3,3,0,162890,"6, 12, 132","15, 32, 435"
AARTIIND,3,2,1,85618,"9, 19, 780","23, 49, 538"
AARTIPHARM,0,0,0,0,,
AARTISURF,1,0,1,-7866,728,542
AARVEEDEN,6,3,3,115946,"93, 76, 63, 17, 36, 12","68, 54, 33, 45, 91, 30"
AARVI,2,1,1,55881,"34, 30","22, 95"
AAVAS,0,0,0,0,,
ABAN,9,1,8,-23716,"902, 632, 431, 310, 254, 221, 175, 33, 58","669, 380, 281, 212, 708, 158, 112, 23, 40"
ABB,3,2,1,88961,"440, 995, 941","1170, 744, 2427"
ABBOTINDIA,1,1,0,44070,4445,11774
ABCAPITAL,2,1,1,32032,"97, 63","42, 167"
ABFRL,1,1,0,46402,121,306
ABMINTLLTD,2,1,1,117881,"18, 57","87, 43"
ABSLAMC,1,0,1,-9584,460,311
ACC,1,0,1,-9475,1414,968
ACCELYA,3,1,2,40402,"93, 61, 30","58, 38, 94"
ACCURACY,2,1,1,51552,"8, 2","3, 6"
ACE,6,3,3,120342,"16, 47, 12, 115, 82, 54","40, 35, 32, 78, 34, 156"
ACEINTEG,2,1,1,37365,"18, 10","9, 26"
ACI,0,0,0,0,,
ACL,8,1,7,5666,"231, 120, 133, 103, 53, 62, 147, 137","166, 80, 91, 52, 37, 203, 108, 86"
ACLGATI,10,2,8,36192,"45, 36, 28, 120, 121, 106, 87, 60, 44, 146","30, 27, 81, 88, 76, 75, 54, 38, 122, 100"
ADANIENSOL,0,0,0,0,,
ADANIENT,7,4,3,187519,"32, 64, 31, 32, 50, 47, 146","86, 47, 22, 96, 32, 125, 398"
ADANIGREEN,0,0,0,0,,
ADANIPORTS,2,2,0,111424,"77, 248","228, 676"
ADANIPOWER,6,2,4,52198,"80, 53, 39, 32, 31, 225","47, 35, 29, 20, 85, 563"
ADFFOODS,3,1,2,42490,"12, 54, 55","9, 34, 165"
ADL,0,0,0,0,,
ADORWELD,2,1,1,36063,"111, 352","295, 185"
ADROITINFO,2,0,2,-18150,"6, 6","4, 4"
ADSL,6,2,4,51825,"187, 126, 28, 12, 25, 17","98, 90, 19, 33, 17, 44"
ADVANIHOTR,5,2,3,90733,"46, 20, 15, 28, 23","34, 14, 38, 15, 80"
ADVENZYMES,1,0,1,-8561,262,189
AEGISCHEM,5,2,3,69813,"5, 17, 16, 13, 196","12, 11, 11, 34, 139"
AEROFLEX,0,0,0,0,,
AETHER,0,0,0,0,,
AFFLE,1,0,1,-8346,1309,932
AGARIND,1,1,0,58319,70,211
AGI,8,2,6,49992,"24, 17, 40, 29, 29, 86, 68, 284","16, 11, 29, 21, 86, 57, 45, 736"
AGRITECH,4,2,2,141263,"6, 73, 61, 35","24, 50, 43, 123"
AGROPHOS,2,1,1,127999,"17, 11","9, 63"
AGSTRA,0,0,0,0,,
AHL,0,0,0,0,,
AHLADA,2,0,2,-11543,"61, 129","46, 97"
AHLEAST,2,1,1,39822,"149, 67","108, 173"
AHLUCONT,1,1,0,53602,135,374
AIAENG,3,2,1,87103,"313, 169, 940","156, 478, 2399"
AIRAN,1,0,1,-8075,21,15
AIROLAM,2,1,1,44453,"37, 20","27, 55"
AJANTPHARM,3,2,1,100586,"5, 913, 759","16, 642, 1976"
AJMERA,7,4,3,255269,"46, 119, 57, 121, 224, 145, 88","216, 88, 154, 336, 159, 96, 272"
AJOONI,3,1,2,81421,"4, 2, 1","3, 1, 6"
AKASH,1,0,1,-10444,59,36
AKG,1,1,0,84168,9,35
AKI,0,0,0,0,,
AKSHAR,1,0,1,-12456,6,4
AKSHARCHEM,2,0,2,-19693,"237, 326","152, 226"
AKSHOPTFBR,6,1,5,-1085,"55, 13, 7, 28, 8, 7","37, 7, 19, 19, 6, 5"
AKZOINDIA,2,2,0,102166,"416, 902","1137, 2351"
ALANKIT,4,0,4,-41846,"28, 24, 15, 17","19, 14, 11, 12"
ALBERTDAVD,1,1,0,59156,351,1059
ALEMBICLTD,4,0,4,-35933,"32, 19, 11, 47","23, 11, 8, 35"
ALICON,5,3,2,144585,"22, 60, 67, 586, 251","58, 44, 175, 392, 795"
ALKALI,2,0,2,-19959,"60, 31","40, 22"
ALKEM,1,1,0,47176,1794,4724
ALKYLAMINE,4,2,2,77024,"14, 120, 3180, 2536","36, 306, 2155, 1814"
ALLCARGO,5,2,3,89418,"24, 16, 13, 26, 20","16, 11, 40, 15, 54"
ALLSEC,6,3,3,108943,"151, 26, 15, 27, 277, 187","90, 18, 40, 71, 116, 532"
ALMONDZ,5,2,3,70253,"19, 33, 10, 9, 11","53, 22, 6, 6, 28"
ALOKINDS,7,1,6,32087,"24, 21, 10, 8, 3, 4, 3","18, 16, 7, 5, 2, 3, 12"
ALPA,6,1,5,12055,"22, 10, 8, 7, 35, 31","16, 7, 6, 20, 26, 23"
ALPHAGEO,5,1,4,8296,"104, 58, 33, 471, 194","66, 41, 88, 304, 125"
ALPSINDUS,8,1,7,5935,"51, 8, 2, 6, 3, 1, 2, 5","29, 5, 6, 4, 2, 1, 1, 3"
AMBER,1,1,0,48836,817,2180
AMBICAAGAR,1,1,0,67776,8,25
AMBIKCO,2,2,0,95539,"51, 175","142, 442"
AMBUJACEM,2,2,0,94102,"70, 202","180, 516"
AMDIND,3,1,2,33844,"16, 27, 17","10, 20, 44"
AMIORG,0,0,0,0,,
AMJLAND,3,1,2,29003,"9, 19, 20","23, 14, 14"
AMRUTANJAN,1,1,0,46412,215,546
ANANDRATHI,0,0,0,0,,
ANANTRAJ,8,2,6,51999,"37, 34, 26, 23, 18, 16, 10, 74","22, 24, 19, 17, 12, 11, 26, 202"
ANDHRAPAP,5,3,2,142902,"70, 45, 182, 432, 243","39, 140, 473, 316, 610"
ANDHRSUGAR,2,1,1,59587,"15, 58","51, 35"
ANGELONE,1,1,0,54095,1230,3488
ANIKINDS,5,3,2,146906,"24, 26, 41, 9, 9","63, 78, 30, 7, 24"
ANKITMETAL,4,0,4,-35375,"8, 3, 2, 5","6, 2, 1, 4"
ANMOL,0,0,0,0,,
ANTGRAPHIC,5,1,4,19393,"0, 0, 1, 1, 1","0, 0, 1, 0, 2"
ANUP,2,2,0,97940,"192, 434","514, 1113"
ANURAS,1,0,1,-7707,797,594
APARINDS,5,2,3,81978,"176, 146, 118, 616, 349","130, 108, 340, 454, 926"
APCL,2,1,1,40228,"124, 228","322, 162"
APCOTEXIND,3,2,1,117945,"4, 86, 210","12, 238, 157"
APEX,2,0,2,-16952,"242, 259","169, 193"
APLAPOLLO,1,1,0,62229,144,442
APLLTD,1,0,1,-9494,627,428
APOLLO,1,0,1,-7573,12,9
APOLLOHOSP,1,0,1,-8492,1302,950
APOLLOPIPE,0,0,0,0,,
APOLLOTYRE,5,3,2,115198,"39, 18, 70, 163, 108","23, 48, 176, 79, 279"
APOLSINHOT,0,0,0,0,,
APTECHT,7,3,4,117191,"193, 66, 76, 38, 137, 112, 78","139, 178, 47, 113, 90, 60, 206"
APTUS,1,0,1,-9715,360,242
ARCHIDPLY,4,1,3,17137,"15, 16, 5, 25","11, 10, 14, 15"
ARCHIES,7,1,6,-1521,"25, 24, 25, 30, 24, 20, 13","17, 17, 18, 19, 17, 13, 36"
ARE&M,0,0,0,0,,
ARENTERP,1,1,0,66604,11,35
ARIES,4,2,2,79041,"35, 122, 67, 90","88, 86, 43, 260"
ARIHANTCAP,0,0,0,0,,
ARIHANTSUP,5,1,4,3044,"61, 40, 31, 28, 25","35, 25, 21, 20, 62"
ARMANFIN,2,2,0,91809,"226, 445","571, 1137"
AROGRANITE,3,2,1,89288,"22, 21, 26","17, 55, 67"
ARROWGREEN,4,2,2,108605,"463, 116, 44, 94","301, 69, 163, 259"
ARSHIYA,6,2,4,63245,"172, 15, 16, 38, 32, 8","127, 11, 42, 27, 83, 6"
ARTEMISMED,0,0,0,0,,
ARTNIRMAN,2,1,1,154712,"20, 74","120, 51"
ARVEE,3,2,1,132895,"28, 35, 87","20, 139, 224"
ARVIND,6,4,2,218359,"19, 7, 30, 91, 32, 98","12, 21, 86, 63, 104, 261"
ARVINDFASN,2,1,1,50291,"164, 151","120, 440"
ARVSMART,2,2,0,106661,"87, 190","242, 535"
ASAHIINDIA,4,3,1,152091,"42, 38, 209, 177","108, 111, 156, 482"
ASAHISONG,2,1,1,42004,"137, 148","74, 413"
ASAL,7,3,4,147821,"26, 75, 47, 44, 36, 21, 344","71, 53, 32, 31, 20, 77, 866"
ASALCBR,0,0,0,0,,
ASHAPURMIN,5,3,2,137827,"28, 20, 65, 28, 96","76, 52, 44, 17, 290"
