ticker,buy_date,buy_price,sell_date,sell_price,profit,profit_percent
,2015-10-01,30.200000762939453,2022-01-01,91.5,62559.003787994385,213511.96388041432
,2019-04-01,22.649999618530273,2019-07-01,15.050000190734863,-10128.599494934082,-44717.879317965795
,2019-10-01,13.25,2020-09-01,9.899999618530273,-7244.7995681762695,-54677.732590009575
,2022-08-01,29.399999618530273,2023-01-01,21.0,-8007.000389099121,-27753.900461789926
,2009-04-01,455.5,2011-08-01,271.0,-11992.5,-2632.8210757409443
,2012-12-01,88.0,2013-02-01,64.5,-8500.0,-9444.444444444443
,2015-10-01,38.0,2019-07-01,22.5,-13807.5,-36335.52631578947
,2009-04-01,1028.0,2010-07-01,3487.699951171875,71543.0,6959.43579766537
,2011-04-01,4107.2001953125,2013-08-01,2984.300048828125,-7932.75,-187.53546099290782
,2013-10-01,3310.050048828125,2015-08-01,10788.9501953125,65476.8017578125,2030.288426598837
,2017-01-01,11957.5,2023-12-01,37309.1484375,49978.900390625,416.1250001321267
,2009-06-01,13.449999809265137,2013-03-01,9.0,-9923.499574661255,-73780.66702889747
,2013-05-01,9.949999809265137,2013-09-01,6.75,-9647.999424934387,-96964.82019980004
,2014-03-01,7.349999904632568,2020-02-01,4.550000190734863,-13467.300778388977,-167295.65787947617
,2020-04-01,7.150000095367432,2020-05-01,4.5,-11116.750400066376,-155479.02450055975
,2018-12-01,149.41050720214844,2021-07-01,507.6499938964844,70617.7490234375,45019.23918731992
,2009-03-01,619.75,2013-08-01,113.9000015258789,-24811.201171875,-3945.1741467161264
,2014-01-01,273.3999938964844,2014-10-01,174.5500030517578,-11314.198669433594,-4058.177605744836
,2014-12-01,203.5500030517578,2015-06-01,152.5500030517578,-7335.299102783203,-3615.2288434890393
,2015-12-01,116.30000305175781,2016-02-01,73.0999984741211,-10806.850784301758,-9284.235947281408
,2016-04-01,85.75,2017-06-01,62.70000076293945,-8253.849201202393,-9614.26831439078
,2018-08-01,79.75,2020-03-01,46.04999923706055,-12727.600860595703,-15929.41253758718
,2020-06-01,75.6500015258789,2021-12-01,228.14999389648438,52516.20199584961,69835.37782853219
,2013-12-01,11.949999809265137,2016-06-01,41.20000076293945,73291.99712753296,591064.5111472994
,2018-11-01,13.699999809265137,2019-08-01,9.550000190734863,-6785.898747444153,-53643.46997689922
,2020-06-01,5.5,2020-07-01,4.0,-8999.097919464111,-157878.91615077623
,2020-12-01,4.849999904632568,2024-02-01,16.100000381469727,68344.25117969513,1438826.3406251606
,2019-10-01,1.9466660022735596,2020-12-01,7.284999847412109,84421.12984418869,4336703.355665078
,2020-05-01,21.319046020507812,2021-05-01,90.44999694824219,97883.65311813354,453565.0444017898
,2005-06-01,19.9375,2005-10-01,13.53125,-11270.599426269531,-55315.82540500383
,2007-04-01,8.737500190734863,2008-03-01,6.525000095367432,-6608.525654792786,-75634.05448391731
,2012-01-01,12.46875,2014-04-01,44.712501525878906,76149.90367126465,582965.7697321696
,2016-07-01,132.3249969482422,2020-07-01,435.0625,70181.47637939453,53082.33307688987
,2006-09-01,8.844989776611328,2007-02-01,6.196352005004883,-8239.935383319855,-93159.3545207773
,2011-04-01,13.48617935180664,2014-06-01,49.2670783996582,79982.03717041016,587771.4063048842
,2022-07-01,780.0999755859375,2023-01-01,538.0,-9241.600463867188,-1177.27394444168
,2022-07-01,728.1845092773438,2023-01-01,541.7000122070312,-7865.864013671875,-1072.2274194154938
,2008-03-01,76.1500015258789,2008-07-01,54.150001525878906,-11200.5,-14546.103896103896
,2008-08-01,63.0,2008-10-01,33.099998474121094,-15232.0,-23433.846153846152
,2009-04-01,16.649999618530273,2009-10-01,54.0,67267.35068702698,404008.1214906646
,2019-09-01,34.150001525878906,2020-02-01,22.5,-11721.29866027832,-32695.395144129587
,2020-06-01,29.899999618530273,2021-12-01,95.3499984741211,67602.19961738586,215636.99775054547
,2009-05-01,902.5,2011-01-01,669.3499755859375,-8052.0,-880.0000000000001
,2011-04-01,632.0499877929688,2011-08-01,380.0,-12102.5,-1898.4313725490197
,2011-10-01,431.20001220703125,2013-02-01,280.95001220703125,-10298.25,-2394.9418604651164
,2013-04-01,310.5,2013-08-01,212.5,-9696.0,-3122.705314009662
,2013-10-01,253.64999389648438,2014-07-01,770.0499877929688,60474.99639892578,24060.07357486192
,2018-04-01,175.0,2018-06-01,112.30000305175781,-10602.0,-6058.285714285715
,2022-08-01,57.900001525878906,2023-02-01,39.900001525878906,-9013.200790405273,-15757.343828996994
,2009-01-01,440.4476318359375,2017-05-01,1325.110595703125,60965.79345703125,14256.107200017812
,2018-08-01,1187.84228515625,2020-05-01,744.25,-11259.033203125,-932.5322039765824
,2020-06-01,941.1500244140625,2022-08-01,3262.75,71791.34735107422,7645.103911859266
,2019-03-01,97.19999694824219,2020-03-01,42.150001525878906,-16970.799530029297,-17414.879488444578
,2020-06-01,63.29999923706055,2023-06-01,196.3000030517578,63145.50360870361,99285.38541458863
,2017-01-01,21.25,2017-03-01,75.75,81191.29346084595,369751.64248568297
,2019-07-01,17.5,2021-02-01,86.625,125871.875,719267.8571428572
,2022-08-01,460.0,2023-03-01,311.20001220703125,-9584.250793457031,-2083.5327811863112
,2007-05-01,850.8499755859375,2008-06-01,525.5,-12057.5,-1385.919540229885
,2017-01-01,1413.5,2020-03-01,968.5,-9475.200256347656,-669.1525604765294
,2008-04-01,60.54999923706055,2008-06-01,38.04999923706055,-11261.25,-18598.266130294815
,2019-03-01,7.894999980926514,2019-07-01,3.049999952316284,-21825.254565238953,-256767.7007675171
