ticker,buy_date,buy_price,sell_date,sell_price,profit,profit_percent
,2023-06-01,455.0,2023-07-01,521.6500244140625,4550.0,1000.0
,2009-04-01,1028.0,2009-05-01,1244.4000244140625,6583.0,640.3696498054475
,2011-04-01,4107.2001953125,2011-05-01,3929.89990234375,-1680.0,-39.71631205673759
,2013-10-01,3310.050048828125,2013-11-01,3306.10009765625,675.0,20.930232558139537
,2017-01-01,11957.5,2017-02-01,11164.7998046875,-1462.599609375,-12.177624115127301
,2019-10-01,22488.19921875,2019-11-01,22241.75,-98.5,-0.4378264251583509
,2020-07-01,21078.0,2020-08-01,20264.44921875,-1096.75,-5.125778447661443
,2022-06-01,21854.05078125,2022-07-01,22742.80078125,802.0,3.65375854214123
,2005-06-01,19.9375,2005-07-01,20.375,-893.0,-4382.82208588957
,2007-04-01,8.737500190734863,2007-05-01,8.181249618530273,-858.25,-9822.603505177347
,2012-01-01,12.46875,2012-02-01,11.800000190734863,-3037.574541091919,-23254.159166253925
,2016-07-01,132.3249969482422,2016-08-01,121.82499694824219,-2039.6486206054688,-1542.7048991318547
,2019-10-01,134.4875030517578,2019-11-01,130.0,-1226.5,-908.5185185185186
,2006-09-01,8.844989776611328,2006-10-01,8.261802673339844,-1812.7874336242676,-20495.076641216634
,2011-04-01,13.48617935180664,2011-05-01,12.939441680908203,-1864.4486389160156,-13701.446440330446
,2013-10-01,19.354490280151367,2013-11-01,20.508712768554688,1657.219409942627,8567.832897822169
,2022-07-01,780.0999755859375,2022-08-01,830.7000122070312,1558.0,198.47133757961782
,2023-04-01,562.25,2023-05-01,512.2999877929688,-2599.6493530273438,-462.3653807073977
,2020-06-01,1339.25,2020-07-01,1370.449951171875,874.5,65.30993278566093
,2022-07-01,2385.5,2022-08-01,2274.60009765625,-1813.201171875,-75.39298011954261
,2023-06-01,1536.949951171875,2023-07-01,1548.800048828125,19.0,1.2187299550994226
,2009-01-01,440.4476318359375,2009-02-01,333.36572265625,-6238.26123046875,-1458.741300659981
,2009-04-01,438.9950866699219,2009-05-01,590.9706420898438,11263.440063476562,2565.7326028219272
,2012-01-01,741.0850830078125,2012-02-01,735.3655395507812,-225.14892578125,-30.573871342983843
,2013-05-01,582.0281982421875,2013-06-01,555.92724609375,-1301.0509643554688,-223.2240730429767
,2013-09-01,492.46795654296875,2013-10-01,571.3154907226562,4575.6097412109375,933.333748332094
,2017-01-01,994.83154296875,2017-02-01,1087.7962646484375,2832.5189208984375,284.9314817858518
,2018-08-01,1187.84228515625,2018-09-01,1279.899169921875,1443.49365234375,119.55771803503572
,2020-06-01,941.1500244140625,2020-07-01,894.9500122070312,-1207.4503784179688,-128.5821196010892
,2019-03-01,97.19999694824219,2019-04-01,97.75,92.40093994140625,94.81882281687746
,2019-11-01,109.44999694824219,2019-12-01,102.69999694824219,-1808.4016723632812,-1646.9960128423968
,2020-06-01,63.29999923706055,2020-07-01,54.099998474121094,-4919.198917388916,-7734.589678316648
,2017-01-01,147.90536499023438,2017-02-01,155.6924591064453,1383.8368530273438,926.6683526118612
,2018-08-01,195.6628875732422,2018-09-01,180.8772735595703,-3053.9674072265625,-1546.4187057928345
,2020-06-01,125.30000305175781,2020-07-01,124.69999694824219,-322.6496353149414,-257.0913428804314
,2020-08-01,139.89999389648438,2020-09-01,133.60000610351562,-449.40130615234375,-327.79087246212737
,2023-07-01,223.14999389648438,2023-08-01,219.5500030517578,-576.2004089355469,-256.3169044098646
,2022-08-01,460.0,2022-09-01,455.0,-325.0,-70.65217391304348
,2023-05-01,356.45001220703125,2023-06-01,372.3500061035156,1570.801025390625,438.7712361426327
,2007-05-01,850.8499755859375,2007-06-01,934.9500122070312,2275.0,261.49425287356325
,2017-01-01,1413.5,2017-02-01,1411.5,0.0,0.0
,2018-07-01,1529.75,2018-08-01,1638.75,1824.0,118.82736156351793
,2020-05-01,1270.199951171875,2020-06-01,1332.25,1309.848876953125,102.09266383110874
,2022-04-01,2328.89990234375,2022-05-01,2198.39990234375,-1297.201171875,-56.058823330812444
,2023-12-01,2211.25,2024-01-01,2544.300048828125,4438.19873046875,200.6418955908115
,2008-04-01,60.54999923706055,2008-05-01,50.599998474121094,-4479.749622344971,-7398.430518233718
,2019-09-01,810.5999755859375,2019-10-01,941.0499877929688,4676.8009033203125,576.9554705376981
,2007-04-01,45.79999923706055,2007-05-01,53.2599983215332,5502.000999450684,12013.102819003023
,2009-04-01,15.699999809265137,2009-05-01,33.25,35908.00036430359,228713.3808951576
,2011-04-01,46.849998474121094,2011-05-01,45.29999923706055,-2016.0009765625,-4289.363779920212
,2013-10-01,12.149999618530273,2013-11-01,13.0,1481.4009418487549,11851.207534790039
,2019-03-01,114.5999984741211,2019-04-01,98.80000305175781,-4423.949203491211,-3821.9863529081736
,2020-06-01,54.45000076293945,2020-07-01,56.349998474121094,604.9991607666016,1107.0432641801683
,2009-04-01,32.421504974365234,2009-05-01,51.72650146484375,19235.923767089844,59330.75525734892
,2012-01-01,63.74709701538086,2012-02-01,57.43982696533203,-2881.572036743164,-4530.12190822331
,2012-09-01,30.831275939941406,2012-10-01,33.00778579711914,2222.1375217437744,7212.791628991702
,2013-10-01,31.827564239501953,2013-11-01,40.33433151245117,8446.528610229492,26750.971426251777
,2015-10-01,50.348873138427734,2015-11-01,44.89986038208008,-3161.1077308654785,-6271.620757501416
,2016-04-01,47.24293518066406,2016-05-01,39.69605255126953,-4601.96231842041,-9786.209000094506
,2016-12-01,41.712188720703125,2017-01-01,47.48814010620117,3996.1982917785645,9426.482340340315
,2019-09-01,145.85000610351562,2019-10-01,199.64999389648438,10844.498748779297,7422.654548758671
,2020-06-01,156.25,2020-07-01,175.25,3475.201171875,2211.391222938345
,2023-05-01,2493.35009765625,2023-06-01,2388.050048828125,-1138.798828125,-45.55377705552664
,2022-07-01,2174.699951171875,2022-08-01,2436.199951171875,3139.5,143.35616438356163
,2023-07-01,1093.300048828125,2023-08-01,928.6500244140625,-5032.8006591796875,-451.37225642867156
,2008-05-01,158.0800018310547,2008-06-01,98.83000183105469,-11169.901153564453,-7020.679274076805
,2009-01-01,77.2300033569336,2009-02-01,68.33000183105469,-4392.159881591797,-5632.418174551499
,2009-04-01,77.75,2009-05-01,122.23999786376953,18152.75058746338,23347.589180017207
,2011-04-01,144.4499969482422,2011-05-01,161.4499969482422,3456.9025268554688,2377.512154035278
,2012-01-01,146.25,2012-02-01,148.64999389648438,297.24937438964844,202.8313669053063
,2016-03-01,247.6999969482422,2016-04-01,238.1999969482422,-1331.0,-536.6935483870968
,2016-07-01,232.39999389648438,2016-08-01,262.95001220703125,3702.299606323242,1579.1425269843667
,2018-11-01,365.6499938964844,2018-12-01,387.70001220703125,1545.697998046875,420.65531274931266
,2019-09-01,413.95001220703125,2019-10-01,395.79998779296875,-1382.40087890625,-332.9481787724378
,2020-05-01,323.79998779296875,2020-06-01,343.8999938964844,1830.7994384765625,561.5949197780867
,2023-03-01,631.9000244140625,2023-04-01,681.2999877929688,2009.25,314.6582160223047
,2012-09-01,52.95000076293945,2012-10-01,48.20000076293945,-2801.7004318237305,-5286.227229856096
,2015-01-01,51.95000076293945,2015-02-01,57.400001525878906,2336.8495597839355,4459.6364346093205
,2015-10-01,31.5,2015-11-01,30.700000762939453,-761.6010894775391,-2402.5270383208594
,2017-07-01,33.5,2017-08-01,33.349998474121094,0.0,0.0
,2018-07-01,31.350000381469727,2018-08-01,35.400001525878906,3585.001823425293,11238.250364563686
,2020-05-01,36.400001525878906,2020-06-01,36.0,-3460.8006286621094,-8652.001571655273
,2020-08-01,37.25,2020-09-01,36.900001525878906,-1610.0,-4128.205128205129
,2023-04-01,224.85000610351562,2023-05-01,249.64999389648438,3684.099594116211,1638.469866182765
,2012-01-01,11.989999771118164,2012-02-01,11.380000114440918,-1751.399522781372,-14717.643520375854
,2018-11-01,53.90999984741211,2018-12-01,53.93000030517578,0.0,0.0
,2018-04-01,261.6000061035156,2018-05-01,220.85000610351562,-4628.400695800781,-1769.2662797451596
,2019-03-01,182.60000610351562,2019-04-01,190.39999389648438,1385.7994995117188,761.6375502913174
,2006-08-01,10.295978546142578,2006-09-01,10.946977615356445,2001.2262439727783,19505.168534855842
,2009-04-01,4.739990234375,2009-05-01,7.595983982086182,21645.13219642639,456649.2993899691
,2012-01-01,16.610000610351562,2012-02-01,16.09000015258789,-541.7986221313477,-3283.6280129172587
,2012-09-01,16.03999900817871,2012-10-01,16.69499969482422,916.2995719909668,5678.956052016535
,2022-08-01,1309.449951171875,2022-09-01,1261.1500244140625,-1100.0,-83.90541571319604
,2023-06-01,1096.300048828125,2023-07-01,1073.75,-405.0,-36.85168334849864
,2007-09-01,23.63704490661621,2007-10-01,19.370779037475586,-4905.790843963623,-21149.998260831093
,2008-04-01,16.59563446044922,2008-05-01,13.613390922546387,-5189.324407577515,-31269.213719696785
,2012-02-01,39.5423469543457,2012-03-01,39.66660690307617,-136.05276489257812,-346.97612834026904
,2013-04-01,29.32539939880371,2013-05-01,28.56603240966797,-1158.1881637573242,-3949.436964205749
,2019-01-01,68.38451385498047,2019-02-01,61.63304138183594,-4100.087951660156,-5743.98386146719
,2022-07-01,283.6499938964844,2022-08-01,314.25,3123.75,1100.1056051099717
,2017-09-01,306.1000061035156,2017-10-01,317.79998779296875,1460.1994018554688,477.0334442141973
,2008-08-01,313.29998779296875,2008-09-01,273.1000061035156,-4350.998840332031,-1382.1470803847387
,2009-04-01,169.14999389648438,2009-05-01,241.5,13425.451080322266,7937.00949734489
,2016-03-01,939.7999877929688,2016-04-01,990.9000244140625,1605.7996215820312,171.19398950767925
,2017-11-01,913.4000244140625,2017-12-01,994.2999877929688,2739.201171875,299.91254374733904
,2018-07-01,758.7999877929688,2018-08-01,847.1666870117188,3324.0977783203125,434.7309369844696
