Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Buy Prices,Sell Prices
20MICRONS,4,3,1,105050,"26, 34, 30, 84","59, 25, 64, 184"
21STCENMGM,5,2,3,44249,"23, 13, 10, 29, 23","15, 10, 23, 21, 50"
360ONE,1,1,0,31841,254,522
3IINFOLTD,5,2,3,43026,"456, 88, 63, 38, 27","271, 64, 29, 80, 64"
3MINDIA,3,3,0,94958,"1028, 3310, 11958","2211, 6813, 25945"
3PLAND,8,2,6,9732,"13, 20, 14, 10, 7, 11, 7, 7","29, 14, 9, 7, 15, 8, 5, 4"
5PAISA,1,1,0,34018,149,344
63MOONS,10,3,7,96453,"620, 864, 722, 273, 204, 116, 86, 78, 76, 168","1445, 607, 540, 175, 153, 73, 63, 46, 228, 492"
A2ZINFRA,5,2,3,69825,"12, 26, 14, 6, 5","33, 13, 10, 4, 12"
AAATECH,0,0,0,0,,
AAKASH,2,2,0,71226,"2, 4","3, 9"
AAREYDRUGS,0,0,0,0,,
AARON,1,1,0,51945,21,62
AARTECH,0,0,0,0,,
AARTIDRUGS,3,3,0,106397,"6, 12, 132","12, 27, 318"
AARTIIND,3,2,1,54345,"9, 19, 780","18, 39, 538"
AARTIPHARM,0,0,0,0,,
AARTISURF,1,0,1,-7866,728,542
AARVEEDEN,8,4,4,111302,"93, 76, 63, 17, 36, 39, 12, 28","68, 54, 33, 45, 76, 78, 27, 21"
AARVI,2,1,1,29552,"34, 30","22, 69"
AAVAS,2,1,1,20311,"1339, 2386","2712, 1611"
ABAN,9,1,8,-48083,"902, 632, 431, 310, 254, 221, 175, 33, 58","669, 380, 281, 212, 509, 158, 112, 23, 40"
ABB,3,2,1,63052,"440, 995, 941","1018, 744, 1896"
ABBOTINDIA,1,1,0,28462,4445,9149
ABCAPITAL,2,1,1,22004,"97, 63","42, 145"
ABFRL,2,2,0,64902,"121, 125","248, 263"
ABMINTLLTD,2,1,1,32288,"18, 57","39, 43"
ABSLAMC,1,0,1,-9584,460,311
ACC,2,1,1,20080,"1414, 1270","968, 2563"
ACCELYA,4,2,2,43357,"93, 61, 30, 811","58, 38, 66, 1631"
ACCURACY,2,1,1,8661,"8, 2","3, 4"
ACE,6,3,3,77628,"16, 47, 12, 115, 82, 54","33, 35, 30, 78, 34, 113"
ACEINTEG,2,1,1,28399,"18, 10","9, 22"
ACI,0,0,0,0,,
