Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Buy Prices,Sell Prices
MOREPENLAB,5,1,4,43835,"6, 4, 20, 18, 49","4, 3, 15, 65, 36"
MOTHERSON,4,2,2,108546,"4, 9, 53, 39","3, 28, 25, 120"
MOTILALOFS,1,0,1,-2566,648,2377
MOTISONS,0,0,0,0,,
MOTOGENFIN,1,1,0,62916,13,39
MPHASIS,3,1,2,38674,"243, 1041, 861","161, 664, 2600"
MPSLTD,3,1,2,44636,"56, 38, 477","39, 122, 319"
MRF,1,1,0,60255,2210,6784
MRO-TEK,4,2,2,399283,"23, 5, 24, 25","17, 64, 18, 79"
MRPL,8,2,6,85673,"102, 74, 58, 40, 82, 55, 37, 35","52, 52, 43, 134, 60, 38, 26, 121"
MSPL,5,2,3,115817,"22, 17, 15, 6, 8","71, 13, 10, 4, 24"
MSTCLTD,2,2,0,162801,"112, 275","389, 1061"
MSUMI,0,0,0,0,,
MTARTECH,0,0,0,0,,
MTEDUCARE,4,0,4,-29772,"131, 71, 12, 8","96, 52, 8, 6"
MTNL,7,1,6,52421,"104, 79, 67, 48, 31, 15, 8","66, 56, 48, 35, 22, 10, 36"
MUFIN,0,0,0,0,,
MUFTI,0,0,0,0,,
MUKANDLTD,6,2,4,121040,"90, 23, 48, 32, 35, 22","64, 75, 33, 22, 25, 83"
MUKTAARTS,2,1,1,49846,"52, 24","33, 71"
MUNJALAU,1,0,1,-8085,49,36
MUNJALSHOW,0,0,0,0,,
MURUDCERA,2,1,1,56543,"14, 16","44, 10"
MUTHOOTCAP,3,0,3,-31607,"962, 540, 366","710, 251, 260"
MUTHOOTFIN,2,2,0,137735,"114, 451","376, 1482"
MUTHOOTMF,0,0,0,0,,
MVGJL,0,0,0,0,,
NACLIND,1,0,1,-8890,39,27
NAGAFERT,5,1,4,44266,"12, 13, 4, 12, 11","9, 9, 13, 9, 8"
NAGREEKCAP,6,1,5,68838,"74, 24, 25, 20, 10, 9","52, 16, 17, 14, 47, 7"
NAGREEKEXP,3,2,1,143477,"6, 9, 8","23, 29, 5"
NAHARCAP,2,1,1,104395,"47, 65","32, 312"
NAHARINDUS,4,0,4,-37737,"159, 64, 61, 27","105, 44, 40, 18"
NAHARPOLY,3,1,2,84828,"24, 13, 43","16, 60, 27"
NAHARSPING,5,1,4,24432,"25, 106, 57, 46, 349","77, 78, 43, 26, 249"
NAM-INDIA,2,1,1,57945,"253, 182","175, 589"
NARMADA,0,0,0,0,,
NATCOPHARM,2,1,1,56139,"11, 968","34, 715"
NATHBIOGEN,1,0,1,-10483,310,206
NATIONALUM,2,1,1,55368,"54, 34","33, 109"
NAUKRI,1,1,0,65789,325,1034
NAVA,4,2,2,101753,"69, 98, 84, 51","213, 72, 34, 165"
NAVINFLUOR,4,3,1,186293,"56, 25, 36, 708","36, 79, 123, 2202"
NAVKARCORP,2,0,2,-19548,"33, 64","18, 47"
NAVNETEDUL,1,1,0,67637,57,184
NAZARA,0,0,0,0,,
NBCC,2,1,1,60778,"105, 23","75, 76"
NBIFIN,0,0,0,0,,
NCC,6,4,2,231515,"38, 35, 16, 80, 29, 69","118, 19, 49, 55, 89, 215"
NCLIND,4,1,3,43974,"31, 23, 116, 89","19, 80, 86, 54"
NDGL,1,0,1,-15008,910,527
NDL,3,2,1,131861,"4, 12, 7","12, 7, 25"
NDLVENTURE,0,0,0,0,,
NDRAUTO,0,0,0,0,,
NDTV,5,1,4,33746,"129, 101, 43, 118, 35","85, 68, 143, 88, 26"
NECCLTD,0,0,0,0,,
NECLIFE,4,0,4,-36816,"25, 15, 31, 28","15, 11, 22, 21"
NELCAST,2,1,1,57674,"48, 43","35, 136"
NELCO,4,2,2,124669,"33, 84, 243, 195","104, 57, 135, 720"
NEOGEN,0,0,0,0,,
NESCO,2,2,0,128660,"61, 292","198, 883"
NESTLEIND,1,1,0,63505,625,1947
NETWEB,0,0,0,0,,
NETWORK18,3,0,3,-30640,"196, 84, 38","143, 43, 27"
NEULANDLAB,3,2,1,148763,"107, 532, 1326","349, 283, 5467"
NEWGEN,1,0,1,-15362,112,53
NEXTMEDIA,5,2,3,127899,"13, 3, 22, 8, 6","40, 13, 14, 5, 4"
NFL,4,2,2,101168,"83, 24, 29, 25","44, 78, 18, 77"
NGIL,1,0,1,-11126,152,99
NGLFINE,0,0,0,0,,
NH,1,0,1,-8138,307,227
NHPC,2,1,1,53252,"25, 21","18, 65"
NIACL,3,0,3,-32400,"190, 168, 118","114, 109, 80"
NIBL,5,1,4,33484,"9, 8, 23, 8, 9","5, 29, 17, 5, 5"
NIITLTD,3,1,2,54386,"111, 26, 79","51, 19, 287"
NIITMTS,0,0,0,0,,
NILAINFRA,1,0,1,-11551,8,5
NILASPACES,0,0,0,0,,
NILKAMAL,2,1,1,49450,"121, 1430","366, 934"
NINSYS,0,0,0,0,,
NIPPOBATRY,0,0,0,0,,
NIRAJ,0,0,0,0,,
NITCO,5,2,3,113610,"34, 23, 63, 42, 18","19, 76, 43, 23, 66"
NITINSPIN,4,2,2,133655,"5, 71, 55, 41","17, 49, 28, 146"
NITIRAJ,2,0,2,-15282,"65, 58","47, 41"
NKIND,1,1,0,82798,21,79
NLCINDIA,4,1,3,57209,"112, 90, 61, 46","83, 66, 44, 170"
NMDC,2,0,2,-19783,"91, 97","62, 64"
NOCIL,3,1,2,44718,"16, 170, 112","52, 118, 66"
NOIDATOLL,2,0,2,-29108,"42, 12","19, 7"
NORBTEAEXP,3,1,2,100251,"6, 5, 3","4, 3, 16"
NRAIL,2,0,2,-21473,"283, 243","209, 148"
NRBBEARING,3,1,2,48875,"41, 124, 78","30, 83, 250"
NRL,0,0,0,0,,
NSIL,1,1,0,74094,520,1762
NSLNISP,0,0,0,0,,
NTPC,2,1,1,52609,"131, 111","94, 336"
NUCLEUS,2,1,1,45266,"366, 61","190, 183"
NURECA,1,0,1,-7160,367,255
NUVAMA,0,0,0,0,,
NUVOCO,0,0,0,0,,
NYKAA,0,0,0,0,,
OAL,1,0,1,-9080,434,298
OBCL,0,0,0,0,,
OBEROIRLTY,3,2,1,121065,"265, 188, 366","198, 608, 1120"
OCCL,0,0,0,0,,
OFSS,3,2,1,108975,"1397, 608, 2114","770, 1841, 6521"
OIL,3,1,2,42124,"242, 166, 205","176, 108, 620"
OILCOUNTUB,2,1,1,68631,"80, 5","51, 17"
OLECTRA,4,2,2,114586,"20, 14, 10, 73","14, 11, 31, 224"
OMAXAUTO,5,1,4,25240,"40, 46, 92, 51, 35","25, 34, 67, 33, 110"
OMAXE,3,1,2,40794,"44, 127, 82","132, 84, 57"
OMINFRAL,3,1,2,40626,"49, 19, 16","29, 14, 50"
OMKARCHEM,3,1,2,44486,"17, 13, 5","60, 7, 2"
ONELIFECAP,6,1,5,6613,"233, 50, 32, 18, 8, 6","173, 29, 22, 14, 4, 20"
ONEPOINT,2,1,1,73655,"5, 2","2, 8"
ONGC,3,1,2,45417,"205, 165, 83","153, 121, 252"
ONMOBILE,3,0,3,-33586,"159, 65, 36","100, 41, 23"
ONWARDTEC,4,1,3,46505,"44, 45, 59, 62","29, 33, 43, 210"
OPTIEMUS,2,1,1,76196,"117, 26","55, 102"
ORBTEXP,1,0,1,-9435,162,112
ORCHPHARMA,4,3,1,331449,"77, 52, 6, 360","234, 33, 42, 1183"
ORICONENT,1,0,1,-11521,33,20
ORIENTALTL,2,0,2,-20501,"18, 2","12, 2"
ORIENTBELL,3,2,1,114597,"19, 142, 84","58, 101, 275"
ORIENTCEM,3,1,2,57976,"152, 79, 71","110, 45, 260"
ORIENTCER,0,0,0,0,,
ORIENTELEC,0,0,0,0,,
ORIENTHOT,3,1,2,46031,"34, 23, 19","23, 16, 59"
ORIENTLTD,5,2,3,135766,"29, 24, 83, 70, 76","16, 102, 62, 216, 55"
ORIENTPPR,4,1,3,44383,"3, 43, 45, 33","9, 30, 33, 24"
ORISSAMINE,3,1,2,46991,"1830, 790, 820","1185, 579, 2607"
ORTINLAB,2,0,2,-15413,"22, 13","16, 9"
OSIAHYPER,3,1,2,54720,"17, 15, 11","12, 9, 36"
OSWALAGRO,1,0,1,-16134,7,4
OSWALGREEN,4,1,3,30355,"15, 13, 35, 37","11, 40, 21, 21"
OSWALSEEDS,2,1,1,68489,"5, 5","3, 17"
PAGEIND,1,0,1,-6984,24972,18173
PAISALO,4,1,3,55407,"10, 19, 14, 9","7, 11, 9, 35"
PAKKA,0,0,0,0,,
PALASHSECU,1,1,0,58698,28,85
PALREDTEC,5,0,5,-42698,"73, 52, 81, 41, 148","50, 38, 57, 28, 110"
PANACEABIO,3,1,2,49729,"340, 63, 147","235, 202, 108"
PANACHE,0,0,0,0,,
PANAMAPET,3,2,1,147499,"12, 129, 42","39, 97, 169"
PANSARI,2,1,1,63608,"22, 106","74, 77"
PAR,0,0,0,0,,
PARACABLES,4,1,3,61077,"33, 9, 4, 14","22, 6, 17, 9"
PARADEEP,0,0,0,0,,
PARAGMILK,1,0,1,-12730,243,140
PARAS,1,0,1,-10020,716,463
PARASPETRO,2,0,2,-13333,"1, 1","1, 1"
PARSVNATH,6,2,4,107646,"24, 59, 40, 26, 2, 10","80, 39, 29, 19, 8, 7"
PASUPTAC,0,0,0,0,,
PATANJALI,4,2,2,108041,"2745, 3285, 895, 172","8400, 2205, 595, 573"
PATELENG,6,0,6,-61290,"116, 71, 52, 64, 33, 13","70, 46, 34, 42, 23, 9"
PATINTLOG,4,1,3,26092,"42, 22, 12, 8","31, 10, 7, 23"
PAVNAIND,0,0,0,0,,
PAYTM,1,0,1,-8202,676,482
PCBL,7,4,3,245816,"20, 5, 11, 4, 13, 12, 44","13, 14, 7, 14, 8, 42, 136"
PCJEWELLER,2,1,1,88187,"69, 17","45, 71"
PDMJEPAPER,2,0,2,-20070,"20, 17","14, 11"
PDSL,1,1,0,78908,34,121
PEARLPOLY,6,1,5,9276,"18, 14, 16, 6, 16, 15","12, 10, 10, 17, 11, 11"
PEL,3,1,2,53149,"131, 1474, 1027","432, 1104, 759"
PENIND,1,1,0,64274,19,60
PENINLAND,5,0,5,-51779,"104, 34, 24, 17, 6","51, 23, 17, 11, 4"
PERSISTENT,2,1,1,52984,"350, 318","260, 961"
PETRONET,1,0,1,-8707,40,28
PFC,1,1,0,67537,53,173
PFIZER,1,1,0,61751,1196,3621
PFOCUS,4,3,1,190273,"11, 32, 47, 37","38, 104, 26, 116"
PFS,5,2,3,118133,"15, 11, 20, 16, 13","10, 41, 15, 8, 42"
PGEL,5,2,3,96112,"207, 223, 85, 57, 45","142, 82, 288, 27, 145"
PGHH,2,2,0,120167,"1805, 5771","5577, 17952"
PGHL,1,1,0,69710,634,2122
PGIL,4,2,2,141859,"29, 110, 75, 63","87, 82, 56, 262"
PHOENIXLTD,3,2,1,139672,"76, 68, 615","55, 213, 2371"
PIDILITIND,1,1,0,62784,674,2091
PIGL,3,1,2,102872,"8, 67, 51","40, 42, 38"
PIIND,0,0,0,0,,
