Buy Date,Buy Price,Ticker,Fast Period,Slow Period
2017-10-01,117.26017761230469,AGI,25,30
2021-02-01,174.35000610351562,AGI,25,30
2015-08-01,74.93888854980469,AHLEAST,25,30
2017-03-01,106.6834945678711,AHLEAST,25,30
2017-05-01,142.50674438476562,AHLEAST,25,30
2022-05-01,111.25353240966797,AHLEAST,25,30
2014-02-01,104.55000305175781,AHLUCONT,25,30
2020-11-01,326.5,AHLUCONT,25,30
2021-07-01,391.29998779296875,AHLUCONT,25,30
2010-10-01,415.95001220703125,AIAENG,25,30
2013-12-01,478.3999938964844,AIAENG,25,30
2017-07-01,1450.300048828125,AIAENG,25,30
2021-01-01,1954.1500244140625,AIAENG,25,30
2021-08-01,2021.5,AIAENG,25,30
2021-12-01,23.5,AIRAN,25,30
2024-06-01,29.5,AIRAN,25,30
2021-10-01,67.80000305175781,AIROLAM,25,30
2007-12-01,10.137777328491211,AJANTPHARM,25,30
2010-04-01,17.81333351135254,AJANTPHARM,25,30
2020-09-01,1075.7332763671875,AJANTPHARM,25,30
2024-02-01,2208.0,AJANTPHARM,25,30
2010-09-01,270.3999938964844,AJMERA,25,30
2015-08-01,98.6500015258789,AJMERA,25,30
2021-10-01,328.95001220703125,AJMERA,25,30
2024-01-01,578.6500244140625,AJMERA,25,30
2021-10-01,505.45001220703125,AKSHARCHEM,25,30
2010-09-01,926.9500122070312,AKZOINDIA,25,30
2013-01-01,960.4500122070312,AKZOINDIA,25,30
2013-12-01,858.7000122070312,AKZOINDIA,25,30
2020-03-01,2213.050048828125,AKZOINDIA,25,30
2020-09-01,2165.199951171875,AKZOINDIA,25,30
2022-07-01,1945.0,AKZOINDIA,25,30
2023-12-01,2607.449951171875,AKZOINDIA,25,30
2022-01-01,17.399999618530273,ALANKIT,25,30
2021-04-01,437.6499938964844,ALBERTDAVD,25,30
2006-06-01,29.880184173583984,ALEMBICLTD,25,30
2007-04-01,28.2027645111084,ALEMBICLTD,25,30
2010-11-01,33.45622253417969,ALEMBICLTD,25,30
2013-12-01,14.800000190734863,ALEMBICLTD,25,30
2017-05-01,41.29999923706055,ALEMBICLTD,25,30
2018-03-01,53.29999923706055,ALEMBICLTD,25,30
2020-08-01,85.1500015258789,ALEMBICLTD,25,30
2010-08-01,111.0,ALICON,25,30
2013-07-01,59.900001525878906,ALICON,25,30
2013-10-01,67.0,ALICON,25,30
2013-12-01,67.75,ALICON,25,30
2014-04-01,99.0999984741211,ALICON,25,30
2021-11-01,736.7999877929688,ALICON,25,30
2019-09-01,1905.0999755859375,ALKEM,25,30
2020-07-01,2662.10009765625,ALKEM,25,30
2024-03-01,4942.0,ALKEM,25,30
2011-02-01,16.600000381469727,ALKYLAMINE,25,30
2012-12-01,29.079999923706055,ALKYLAMINE,25,30
2017-06-01,151.27999877929688,ALKYLAMINE,25,30
2010-06-01,21.393749237060547,ALLCARGO,25,30
2014-07-01,30.274999618530273,ALLCARGO,25,30
2018-03-01,36.79999923706055,ALLCARGO,25,30
2021-03-01,30.850000381469727,ALLCARGO,25,30
2021-06-01,39.962501525878906,ALLCARGO,25,30
2010-11-01,33.45000076293945,ALLSEC,25,30
2013-05-01,47.5,ALLSEC,25,30
2015-11-01,136.0,ALLSEC,25,30
2020-12-01,294.29998779296875,ALLSEC,25,30
2021-11-01,460.45001220703125,ALLSEC,25,30
2014-09-01,17.75,ALMONDZ,25,30
2017-05-01,16.700000762939453,ALMONDZ,25,30
2021-08-01,77.19999694824219,ALMONDZ,25,30
2003-07-01,26.578737258911133,ALOKINDS,25,30
2011-02-01,20.65888786315918,ALOKINDS,25,30
2012-07-01,15.718718528747559,ALOKINDS,25,30
2015-07-01,6.5,ALOKINDS,25,30
2018-12-01,3.9000000953674316,ALOKINDS,25,30
2020-02-01,12.5,ALOKINDS,25,30
2011-02-01,107.6500015258789,ALPHAGEO,25,30
2014-05-01,232.8000030517578,ALPHAGEO,25,30
2021-12-01,361.29998779296875,ALPHAGEO,25,30
2020-08-01,1733.5,AMBER,25,30
2010-08-01,226.35000610351562,AMBIKCO,25,30
2013-10-01,230.0,AMBIKCO,25,30
2021-10-01,2073.25,AMBIKCO,25,30
2010-09-01,140.60000610351562,AMBUJACEM,25,30
2015-03-01,255.3000030517578,AMBUJACEM,25,30
2017-09-01,266.45001220703125,AMBUJACEM,25,30
2019-01-01,209.89999389648438,AMBUJACEM,25,30
2021-02-01,273.5,AMBUJACEM,25,30
2012-12-01,77.5,AMRUTANJAN,25,30
2014-11-01,217.9499969482422,AMRUTANJAN,25,30
2019-12-01,440.29998779296875,AMRUTANJAN,25,30
2010-12-01,45.09793472290039,ANANTRAJ,25,30
2014-01-01,21.350000381469727,ANANTRAJ,25,30
2015-11-01,15.397241592407227,ANANTRAJ,25,30
2017-06-01,24.231725692749023,ANANTRAJ,25,30
2019-01-01,14.051034927368164,ANANTRAJ,25,30
2021-02-01,49.54999923706055,ANANTRAJ,25,30
2003-11-01,29.676164627075195,ANDHRAPAP,25,30
2010-08-01,204.25,ANDHRAPAP,25,30
2014-01-01,236.9499969482422,ANDHRAPAP,25,30
2015-03-01,315.3500061035156,ANDHRAPAP,25,30
2017-01-01,314.1000061035156,ANDHRAPAP,25,30
2017-11-01,292.0,ANDHRAPAP,25,30
2022-06-01,307.29998779296875,ANDHRAPAP,25,30
2009-10-01,22.43000030517578,ANDHRSUGAR,25,30
2010-04-01,25.579999923706055,ANDHRSUGAR,25,30
2013-01-01,28.649999618530273,ANDHRSUGAR,25,30
2015-11-01,26.719999313354492,ANDHRSUGAR,25,30
2021-09-01,123.25,ANDHRSUGAR,25,30
2024-06-01,791.4500122070312,ANURAS,25,30
2010-11-01,226.6999969482422,APARINDS,25,30
2014-08-01,331.0,APARINDS,25,30
2022-02-01,629.0499877929688,APARINDS,25,30
2020-11-01,201.1446990966797,APCL,25,30
2008-09-01,4.244999885559082,APCOTEXIND,25,30
2021-11-01,345.79998779296875,APCOTEXIND,25,30
2021-09-01,291.29998779296875,APEX,25,30
2022-06-01,258.45001220703125,APEX,25,30
2020-10-01,314.42999267578125,APLAPOLLO,25,30
2019-09-01,509.3999938964844,APLLTD,25,30
2021-10-01,11.484999656677246,APOLLO,25,30
2008-07-01,240.89999389648438,APOLLOHOSP,25,30
2009-12-01,328.3999938964844,APOLLOHOSP,25,30
2010-02-01,341.5,APOLLOHOSP,25,30
2019-10-01,1484.800048828125,APOLLOHOSP,25,30
2024-05-01,5839.2001953125,APOLLOHOSP,25,30
2010-07-01,63.900001525878906,APOLLOTYRE,25,30
2017-07-01,266.5,APOLLOTYRE,25,30
2022-01-01,216.64999389648438,APOLLOTYRE,25,30
2020-10-01,613.5499877929688,APOLSINHOT,25,30
2022-04-01,753.8499755859375,APOLSINHOT,25,30
2010-12-01,95.96428680419922,APTECHT,25,30
2014-12-01,50.53571319580078,APTECHT,25,30
2017-01-01,131.2857208251953,APTECHT,25,30
2021-08-01,217.32142639160156,APTECHT,25,30
2024-06-01,230.38999938964844,APTECHT,25,30
2011-02-01,14.716079711914062,ARCHIDPLY,25,30
2014-09-01,20.60251235961914,ARCHIDPLY,25,30
2021-09-01,30.899999618530273,ARCHIDPLY,25,30
2010-12-01,139.25,ARIES,25,30
2014-10-01,93.55000305175781,ARIES,25,30
2017-07-01,148.14999389648438,ARIES,25,30
2021-07-01,170.0500030517578,ARIES,25,30
2021-10-01,175.10000610351562,ARIHANTSUP,25,30
2022-04-01,1137.199951171875,ARMANFIN,25,30
2021-08-01,128.64999389648438,ARROWGREEN,25,30
2020-10-01,41.5,ARVEE,25,30
2023-11-01,139.5500030517578,ARVEE,25,30
2010-11-01,19.924598693847656,ARVIND,25,30
2014-01-01,54.78803634643555,ARVIND,25,30
2021-11-01,116.9000015258789,ARVIND,25,30
2022-06-01,257.54998779296875,ARVINDFASN,25,30
2021-10-01,194.8000030517578,ARVSMART,25,30
2008-07-01,52.85096740722656,ASAHIINDIA,25,30
2010-09-01,96.65387725830078,ASAHIINDIA,25,30
2015-01-01,132.75,ASAHIINDIA,25,30
2021-08-01,357.95001220703125,ASAHIINDIA,25,30
2014-10-01,146.0,ASAHISONG,25,30
2014-12-01,139.1999969482422,ASAHISONG,25,30
2021-05-01,352.5,ASAHISONG,25,30
2010-10-01,84.44805145263672,ASAL,25,30
2015-06-01,38.25,ASAL,25,30
2017-04-01,73.9000015258789,ASAL,25,30
2021-11-01,214.4499969482422,ASAL,25,30
2024-06-01,1036.0,ASAL,25,30
2011-02-01,30.75,ASHAPURMIN,25,30
2011-11-01,14.050000190734863,ASHAPURMIN,25,30
2013-08-01,39.5,ASHAPURMIN,25,30
2017-01-01,67.05000305175781,ASHAPURMIN,25,30
2017-08-01,55.849998474121094,ASHAPURMIN,25,30
2020-12-01,108.69999694824219,ASHAPURMIN,25,30
2023-11-01,363.3500061035156,ASHAPURMIN,25,30
2018-03-01,152.85000610351562,ASHIANA,25,30
2021-11-01,170.4499969482422,ASHIANA,25,30
2024-01-01,309.04998779296875,ASHIANA,25,30
2005-01-01,20.693933486938477,ASHIMASYN,25,30
2010-12-01,5.950944900512695,ASHIMASYN,25,30
2014-07-01,7.755425930023193,ASHIMASYN,25,30
2021-09-01,17.799999237060547,ASHIMASYN,25,30
2024-05-01,30.700000762939453,ASHIMASYN,25,30
2014-05-01,89.63333129882812,ASHOKA,25,30
2017-11-01,167.86666870117188,ASHOKA,25,30
2022-05-01,82.1500015258789,ASHOKA,25,30
2024-03-01,156.60000610351562,ASHOKA,25,30
2010-07-01,35.474998474121094,ASHOKLEY,25,30
2014-10-01,46.45000076293945,ASHOKLEY,25,30
2021-08-01,122.75,ASHOKLEY,25,30
2010-12-01,252.14999389648438,ASIANHOTNR,25,30
2015-10-01,129.60000610351562,ASIANHOTNR,25,30
2017-05-01,138.39999389648438,ASIANHOTNR,25,30
2018-02-01,277.70001220703125,ASIANHOTNR,25,30
2022-06-01,81.8499984741211,ASIANHOTNR,25,30
2010-11-01,39.097373962402344,ASIANTILES,25,30
2014-01-01,19.343244552612305,ASIANTILES,25,30
2014-10-01,84.32643127441406,ASIANTILES,25,30
2020-12-01,178.13485717773438,ASIANTILES,25,30
2022-06-01,40.25,ASIANTILES,25,30
2011-01-01,71.0999984741211,ASMS,25,30
2015-08-01,9.350000381469727,ASMS,25,30
2016-11-01,19.350000381469727,ASMS,25,30
2021-12-01,9.600000381469727,ASMS,25,30
2021-09-01,179.5,ASPINWALL,25,30
2014-07-01,62.70000076293945,ASTEC,25,30
2020-11-01,949.0999755859375,ASTEC,25,30
2021-08-01,214.1999969482422,ASTERDM,25,30
2022-04-01,192.39999389648438,ASTERDM,25,30
2010-11-01,14.50350284576416,ASTRAL,25,30
2024-03-01,1991.25,ASTRAL,25,30
2010-08-01,41.633331298828125,ASTRAMICRO,25,30
2013-07-01,34.20000076293945,ASTRAMICRO,25,30
2017-01-01,118.19999694824219,ASTRAMICRO,25,30
2017-09-01,125.4000015258789,ASTRAMICRO,25,30
2018-06-01,98.0,ASTRAMICRO,25,30
2021-01-01,116.5,ASTRAMICRO,25,30
2009-11-01,923.25,ASTRAZEN,25,30
2015-06-01,1192.0,ASTRAZEN,25,30
2016-11-01,949.4500122070312,ASTRAZEN,25,30
2018-09-01,1563.8499755859375,ASTRAZEN,25,30
2023-11-01,4765.7998046875,ASTRAZEN,25,30
2008-07-01,128.10000610351562,ATFL,25,30
2010-05-01,235.85000610351562,ATFL,25,30
2018-03-01,636.0499877929688,ATFL,25,30
2020-12-01,899.4000244140625,ATFL,25,30
2010-10-01,89.55000305175781,ATLANTAA,25,30
2014-12-01,59.79999923706055,ATLANTAA,25,30
2017-08-01,94.6500015258789,ATLANTAA,25,30
2021-11-01,19.299999237060547,ATLANTAA,25,30
2010-06-01,100.80000305175781,ATUL,25,30
2017-09-01,465.75,ATULAUTO,25,30
2022-07-01,171.10000610351562,ATULAUTO,25,30
2020-10-01,387.67498779296875,AUBANK,25,30
2011-01-01,180.6704864501953,AURIONPRO,25,30
2014-08-01,251.90000915527344,AURIONPRO,25,30
2018-05-01,173.99932861328125,AURIONPRO,25,30
2021-11-01,247.3000030517578,AURIONPRO,25,30
2003-08-01,23.297500610351562,AUROPHARMA,25,30
2006-06-01,58.20500183105469,AUROPHARMA,25,30
2010-03-01,95.94000244140625,AUROPHARMA,25,30
2013-11-01,146.77499389648438,AUROPHARMA,25,30
2019-04-01,819.0499877929688,AUROPHARMA,25,30
2020-05-01,745.6500244140625,AUROPHARMA,25,30
2021-07-01,916.5999755859375,AUROPHARMA,25,30
2024-03-01,1088.75,AUROPHARMA,25,30
2019-01-01,335.9902038574219,AURUM,25,30
2020-10-01,669.8338623046875,AURUM,25,30
2023-05-01,116.3499984741211,AURUM,25,30
2010-10-01,510.79998779296875,AUTOAXLES,25,30
2014-12-01,708.5499877929688,AUTOAXLES,25,30
2017-11-01,1438.5999755859375,AUTOAXLES,25,30
2021-12-01,1571.0999755859375,AUTOAXLES,25,30
2011-01-01,172.9499969482422,AUTOIND,25,30
2013-12-01,88.55000305175781,AUTOIND,25,30
2015-10-01,44.150001525878906,AUTOIND,25,30
2017-11-01,117.6500015258789,AUTOIND,25,30
2021-12-01,56.25,AUTOIND,25,30
2020-07-01,167.14999389648438,AVADHSUGAR,25,30
2021-12-01,456.29998779296875,AVADHSUGAR,25,30
2020-12-01,522.7000122070312,AVANTIFEED,25,30
2022-04-01,436.1000061035156,AVANTIFEED,25,30
2022-05-01,61.849998474121094,AVG,25,30
2010-10-01,6.9375,AVTNPL,25,30
2014-03-01,21.200000762939453,AVTNPL,25,30
2017-05-01,41.0,AVTNPL,25,30
2020-11-01,46.5,AVTNPL,25,30
2024-01-01,563.0499877929688,AWHCL,25,30
2003-06-01,9.739999771118164,AXISBANK,25,30
2010-07-01,268.69000244140625,AXISBANK,25,30
2013-12-01,259.9100036621094,AXISBANK,25,30
2018-01-01,593.5999755859375,AXISBANK,25,30
2018-12-01,619.9000244140625,AXISBANK,25,30
2022-05-01,685.2000122070312,AXISBANK,25,30
2005-08-01,35.5,AXISCADES,25,30
2006-02-01,10.850000381469727,AXISCADES,25,30
2008-05-01,22.5,AXISCADES,25,30
2013-06-01,44.599998474121094,AXISCADES,25,30
2015-02-01,258.1499938964844,AXISCADES,25,30
2022-03-01,126.25,AXISCADES,25,30
2021-07-01,81.3499984741211,AYMSYNTEX,25,30
2010-06-01,1243.800048828125,BAJAJ-AUTO,25,30
2020-08-01,2967.0,BAJAJ-AUTO,25,30
2023-10-01,5314.0498046875,BAJAJ-AUTO,25,30
2018-03-01,472.04998779296875,BAJAJCON,25,30
2022-04-01,167.60000610351562,BAJAJCON,25,30
2024-04-01,241.35000610351562,BAJAJCON,25,30
2014-01-01,192.53517150878906,BAJAJELEC,25,30
2017-03-01,287.425537109375,BAJAJELEC,25,30
2021-03-01,918.97998046875,BAJAJELEC,25,30
2024-06-01,1066.6500244140625,BAJAJELEC,25,30
2010-12-01,45.47330093383789,BAJAJFINSV,25,30
2015-02-01,142.21499633789062,BAJAJFINSV,25,30
2010-11-01,89.39202880859375,BAJAJHIND,25,30
2015-08-01,12.449999809265137,BAJAJHIND,25,30
2017-07-01,15.899999618530273,BAJAJHIND,25,30
2021-09-01,15.899999618530273,BAJAJHIND,25,30
2023-12-01,27.799999237060547,BAJAJHIND,25,30
2010-10-01,874.5499877929688,BAJAJHLDNG,25,30
2013-04-01,889.5,BAJAJHLDNG,25,30
2022-03-01,5011.0498046875,BAJAJHLDNG,25,30
2010-08-01,59.59679412841797,BAJFINANCE,25,30
2024-06-01,7334.7001953125,BAJFINANCE,25,30
2005-03-01,88.9000015258789,BALAJITELE,25,30
2011-04-01,39.150001525878906,BALAJITELE,25,30
2013-04-01,46.0,BALAJITELE,25,30
2018-03-01,130.3000030517578,BALAJITELE,25,30
2021-10-01,62.349998474121094,BALAJITELE,25,30
2010-07-01,34.90999984741211,BALAMINES,25,30
2013-09-01,32.45000076293945,BALAMINES,25,30
2015-03-01,82.0,BALAMINES,25,30
2021-01-01,1124.4000244140625,BALAMINES,25,30
2018-06-01,2.9600000381469727,BALAXI,25,30
2024-04-01,122.30000305175781,BALAXI,25,30
2010-11-01,74.892578125,BALKRISIND,25,30
2016-12-01,551.25,BALKRISIND,25,30
2021-02-01,1558.0,BALKRISIND,25,30
2024-03-01,2317.35009765625,BALKRISIND,25,30
2008-09-01,30.5,BALMLAWRIE,25,30
2010-06-01,59.766666412353516,BALMLAWRIE,25,30
2013-03-01,57.63809585571289,BALMLAWRIE,25,30
2014-01-01,50.108333587646484,BALMLAWRIE,25,30
2022-04-01,119.19999694824219,BALMLAWRIE,25,30
2023-12-01,218.85000610351562,BALMLAWRIE,25,30
2009-04-01,69.9000015258789,BALRAMCHIN,25,30
2010-08-01,83.80000305175781,BALRAMCHIN,25,30
2010-10-01,84.4000015258789,BALRAMCHIN,25,30
2014-01-01,36.79999923706055,BALRAMCHIN,25,30
2015-04-01,45.95000076293945,BALRAMCHIN,25,30
2020-05-01,99.75,BALRAMCHIN,25,30
2009-04-01,755.0999755859375,BANARISUG,25,30
2013-05-01,850.0,BANARISUG,25,30
2021-09-01,2196.800048828125,BANARISUG,25,30
2014-09-01,143.75,BANCOINDIA,25,30
2017-04-01,228.8000030517578,BANCOINDIA,25,30
2021-10-01,184.0500030517578,BANCOINDIA,25,30
2022-06-01,263.5,BANDHANBNK,25,30
2006-07-01,44.459999084472656,BANKBARODA,25,30
2010-04-01,138.44000244140625,BANKBARODA,25,30
2014-09-01,180.4600067138672,BANKBARODA,25,30
2015-05-01,162.60000610351562,BANKBARODA,25,30
2018-03-01,142.3000030517578,BANKBARODA,25,30
2022-05-01,100.25,BANKBARODA,25,30
2010-07-01,410.6000061035156,BANKINDIA,25,30
2015-10-01,131.3000030517578,BANKINDIA,25,30
2018-02-01,116.19999694824219,BANKINDIA,25,30
2022-05-01,47.95000076293945,BANKINDIA,25,30
