ticker,buy_date,buy_price,sell_date,sell_price,profit,profit_percent,Ticker,Fast Period,Slow Period
,2015-07-01,28.799999237060547,2016-05-01,28.549999237060547,-520.5,-1794.8275862068965,20MICRONS,25,30
,2016-12-01,32.95000076293945,2017-02-01,36.04999923706055,2638.997917175293,7901.191007822414,20MICRONS,25,30
,2017-08-01,37.45000076293945,2019-12-01,35.20000076293945,-1441.799388885498,-3814.2841745666055,20MICRONS,25,30
,2011-01-01,494.5,2011-09-01,262.5,-14070.0,-2845.298281092012,3IINFOLTD,25,30
,2015-05-01,29.0,2016-02-01,39.5,10857.0,36190.0,3IINFOLTD,25,30
,2017-09-01,38.5,2018-10-01,33.5,-3116.0,-8093.506493506493,3IINFOLTD,25,30
,2021-06-01,98.5,2023-04-01,32.849998474121094,-20413.600463867188,-20413.600463867188,3IINFOLTD,25,30
,2010-09-01,3965.14990234375,2013-08-01,2984.300048828125,-6462.75,-160.76492537313433,3MINDIA,25,30
,2014-08-01,5909.9501953125,2020-09-01,18307.150390625,62693.24951171875,1060.5572073387357,3MINDIA,25,30
,2021-02-01,22832.75,2021-04-01,25537.94921875,2325.0,10.032362459546926,3MINDIA,25,30
,2021-10-01,25400.69921875,2023-05-01,25153.44921875,-368.55078125,-1.4440513331635452,3MINDIA,25,30
,2020-11-01,325.79998779296875,2023-08-01,448.6000061035156,11058.401123046875,3327.836752716505,5PAISA,25,30
,2010-12-01,893.75,2011-09-01,812.7000122070312,-2673.0,-296.01328903654485,63MOONS,25,30
,2013-06-01,779.2999877929688,2013-07-01,539.8499755859375,-10871.800231933594,-1408.2642787478749,63MOONS,25,30
,2016-01-01,104.75,2016-03-01,77.75,-7850.701309204102,-7430.857733855381,63MOONS,25,30
,2018-06-01,78.1500015258789,2020-01-01,103.05000305175781,9345.197662353516,11973.346953178687,63MOONS,25,30
,2020-06-01,75.6500015258789,2021-04-01,85.05000305175781,3643.2018127441406,4844.683458234238,63MOONS,25,30
,2015-08-01,22.899999618530273,2018-10-01,12.199999809265137,-13492.999000549316,-59179.82215813828,A2ZINFRA,25,30
,2022-05-01,12.399999618530273,2024-05-01,18.299999237060547,15844.452768325806,125252.59483103982,A2ZINFRA,25,30
,2010-05-01,14.949999809265137,2012-08-01,16.981250762939453,3861.5503826141357,25562.601117887814,AARTIDRUGS,25,30
,2013-04-01,22.40625,2017-05-01,120.98750305175781,132252.9375,590250.2092050209,AARTIDRUGS,25,30
,2018-03-01,126.5,2018-12-01,144.16250610351562,3359.4757232666016,2584.4605399712473,AARTIDRUGS,25,30
,2019-07-01,115.5625,2020-02-01,173.2375030517578,15731.013290405273,13707.451222065996,AARTIDRUGS,25,30
,2020-06-01,317.63751220703125,2022-11-01,452.8999938964844,12606.576721191406,3964.4882912497287,AARTIDRUGS,25,30
,2008-12-01,7.593568801879883,2023-07-01,467.5,1822357.951450348,23998702.04638431,AARTIIND,25,30
,2011-02-01,548.4000244140625,2011-09-01,352.75,-10908.0,-1976.086956521739,ABAN,25,30
,2014-08-01,708.7999877929688,2016-04-01,220.75,-20500.198974609375,-2895.0995172180174,ABAN,25,30
,2018-03-01,158.39999389648438,2018-08-01,115.5,-8505.0,-5313.9642848051735,ABAN,25,30
,2010-12-01,722.5193481445312,2012-05-01,666.5044555664062,-2153.3057861328125,-298.0274219178515,ABB,25,30
,2014-12-01,1169.5943603515625,2017-02-01,1087.7962646484375,-1838.4124755859375,-158.2030125673506,ABB,25,30
,2017-12-01,1273.635009765625,2019-08-01,1215.1234130859375,-1535.7806396484375,-119.80535545326975,ABB,25,30
,2020-01-01,1310.699951171875,2020-02-01,1185.0,-2816.0,-214.47067783701445,ABB,25,30
,2020-08-01,950.75,2020-10-01,893.7000122070312,-1990.2003784179688,-209.01074909724443,ABB,25,30
,2010-01-01,730.0,2013-09-01,1375.4000244140625,27467.953002929688,3940.3175964598036,ABBOTINDIA,25,30
,2013-12-01,1686.550048828125,2014-05-01,1735.8499755859375,766.6995849609375,45.10262803397575,ABBOTINDIA,25,30
,2014-06-01,2172.0,2017-11-01,5274.25,40313.0,1857.741935483871,ABBOTINDIA,25,30
,2021-11-01,109.0999984741211,2022-01-01,117.6500015258789,2548.2008361816406,2314.4422084443468,ABCAPITAL,25,30
,2018-06-01,136.02760314941406,2021-01-01,150.10000610351562,3080.2182006835938,2232.0582164580933,ABFRL,25,30
,2022-05-01,271.29998779296875,2024-02-01,225.1999969482422,-5016.000671386719,-1840.7341913345756,ABFRL,25,30
,2010-07-01,831.0,2014-05-01,1337.0,18457.1982421875,2210.4429032559883,ACC,25,30
,2014-06-01,1469.25,2014-07-01,1395.9000244140625,-1720.0,-116.92726036709722,ACC,25,30
,2014-09-01,1399.550048828125,2014-10-01,1499.25,1894.198974609375,134.35940622813138,ACC,25,30
,2015-05-01,1512.4000244140625,2017-02-01,1411.5,-1881.0,-124.15841584158416,ACC,25,30
,2017-08-01,1800.25,2018-09-01,1552.3499755859375,-3808.0,-212.26309921962095,ACC,25,30
,2019-01-01,1423.3499755859375,2019-08-01,1519.8499755859375,2174.5484619140625,153.5372722547971,ACC,25,30
,2021-02-01,1733.199951171875,2021-06-01,2014.800048828125,4545.8004150390625,259.10854718309054,ACC,25,30
,2021-09-01,2254.5,2023-09-01,2012.25,-2921.75,-130.61019222172553,ACC,25,30
,2005-02-01,86.30000305175781,2007-10-01,78.0,-1821.75,-2093.9655172413795,ACCELYA,25,30
,2007-12-01,93.3499984741211,2008-05-01,50.599998474121094,-14124.0,-14789.528795811517,ACCELYA,25,30
