Ticker,Fast MA,Slow MA,Final Portfolio Value,Total Trades,Total Profit,Mean Profit,Median Profit,Min Profit,Max Profit
3MINDIA.NS,5,40,30000.0,0,0,0,0,0,0
3MINDIA.NS,5,50,30000.0,0,0,0,0,0,0
3MINDIA.NS,10,20,30000.0,0,0,0,0,0,0
3MINDIA.NS,10,30,30000.0,0,0,0,0,0,0
3MINDIA.NS,10,40,30000.0,0,0,0,0,0,0
3MINDIA.NS,10,50,30000.0,0,0,0,0,0,0
3MINDIA.NS,15,20,30000.0,0,0,0,0,0,0
3MINDIA.NS,15,30,30000.0,0,0,0,0,0,0
3MINDIA.NS,15,40,30000.0,0,0,0,0,0,0
3MINDIA.NS,15,50,30000.0,0,0,0,0,0,0
3MINDIA.NS,20,30,30000.0,0,0,0,0,0,0
3MINDIA.NS,20,40,30000.0,0,0,0,0,0,0
3MINDIA.NS,20,50,30000.0,0,0,0,0,0,0
3MINDIA.NS,25,30,30000.0,0,0,0,0,0,0
3MINDIA.NS,25,40,30000.0,0,0,0,0,0,0
3MINDIA.NS,25,50,30000.0,0,0,0,0,0,0
3MINDIA.NS,30,40,30000.0,0,0,0,0,0,0
3MINDIA.NS,30,50,30000.0,0,0,0,0,0,0
