Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss
AURIONPRO,3,3,0,700599.2695388794
AUROPHARMA,2,1,0,99992.5
AURUM,2,1,1,-55489.70927734376
AUSOMENT,2,2,0,328347.18647766113
AUTOAXLES,3,2,0,301793.11389160156
AUTOIND,2,1,1,-58048.215612030035
AVADHSUGAR,2,2,0,302451.0
AVANTIFEED,3,2,0,300584.59384155273
AVG,1,1,0,99960.0
AVROIND,2,2,0,638589.4245624542
AVTNPL,1,1,0,101304.0
AWHCL,0,0,0,0.0
AWL,0,0,0,0.0
AXISBANK,1,1,0,100664.99862670898
AXISCADES,3,2,1,-4336.353839874268
AXITA,0,0,0,0.0
AYMSYNTEX,2,1,1,-59898.97736816405
BAFNAPH,1,1,0,99999.90343666077
BAGFILMS,2,0,1,-79998.6
BAJAJ-AUTO,2,1,0,100337.7060546875
BAJAJCON,3,2,0,320045.53858947754
BAJAJELEC,3,2,0,301462.51708984375
BAJAJFINSV,3,2,0,300788.83114624023
BAJAJHCARE,1,0,0,0.0
BAJAJHIND,3,1,2,-91583.58938055039
BAJAJHLDNG,2,2,0,297676.5
BAJFINANCE,2,1,0,99085.0
BALAJITELE,2,1,0,99989.10389709473
BALAMINES,2,2,0,299010.90490722656
BALAXI,1,1,0,107272.6229724884
BALKRISHNA,2,1,0,111288.09511566162
BALKRISIND,2,1,0,99550.0
BALMLAWRIE,2,1,0,99947.18983459473
BALPHARMA,2,1,0,99993.29676055908
BALRAMCHIN,3,3,0,699779.0995597839
BANARBEADS,2,2,0,299962.95598983765
BANARISUG,2,2,0,297708.7000732422
BANCOINDIA,3,2,0,301046.33711242676
BANDHANBNK,1,0,0,0.0
BANG,2,1,1,-59999.559262084964
BANKA,1,1,0,99985.5979270935
BANKBARODA,1,0,0,0.0
BANKINDIA,2,0,1,-79916.16313476562
BANSWRAS,2,2,0,302869.7349700928
BARBEQUE,1,0,0,0.0
BASF,2,2,0,299776.50787353516
BASML,1,1,0,99974.25485229492
BATAINDIA,1,1,0,99898.80303955078
BAYERCROP,2,1,0,99882.14733886719
BBL,2,1,0,99851.75
BBOX,1,1,0,101126.87285614014
BBTC,3,2,0,300704.4485321045
BBTCL,1,1,0,99992.40185165405
BCG,1,0,1,-79989.71734924316
BCLIND,1,0,0,0.0
BCONCEPTS,1,1,0,101579.39558410645
BDL,0,0,0,0.0
BEARDSELL,1,1,0,99993.75622749329
BECTORFOOD,1,0,0,0.0
BEDMUTHA,2,2,0,304255.7027244568
BEL,2,2,0,300495.0046310425
BEML,2,1,0,101569.767578125
BEPL,2,2,0,302951.5396795273
BERGEPAINT,2,1,0,100313.30197906494
BFINVEST,1,0,0,0.0
BFUTILITIE,2,1,0,99862.10189819336
BGRENERGY,3,1,2,-91822.33876647949
BHAGCHEM,0,0,0,0.0
BHAGERIA,1,1,0,99891.14553833008
BHAGYANGR,1,1,0,99996.29628753662
BHANDARI,1,1,0,99999.23686683178
BHARATFORG,2,1,0,99885.50369262695
BHARATGEAR,3,3,0,699850.9162483215
BHARATRAS,1,1,0,99935.0
BHARATWIRE,1,1,0,99997.5
BHARTIARTL,1,1,0,99925.0952758789
BHEL,2,1,1,-59942.796325683594
BIGBLOC,1,1,0,99995.9976196289
BIL,3,2,0,304625.99784851074
BINANIIND,2,0,1,-78482.64860992432
BIOCON,2,1,0,99999.89875793457
BIOFILCHEM,1,1,0,99996.59725570679
BIRLACABLE,3,3,0,721238.05219841
BIRLACORPN,1,1,0,99398.3984375
BIRLAMONEY,2,1,0,99981.0
BKMINDST,3,3,0,764645.0046851635
BLBLIMITED,3,2,0,308886.6932890415
BLISSGVS,2,1,0,100344.0
BLKASHYAP,2,1,1,-59990.88242187501
BLS,2,1,1,-59981.788320922846
BLUECHIP,3,2,0,299999.71192091703
BLUECOAST,3,1,1,-59916.677499389654
BLUEDART,2,1,0,100607.50122070312
BLUESTARCO,2,1,0,99920.0532836914
BODALCHEM,3,2,0,299983.11043548584
BOHRAIND,2,1,1,-59322.399999999994
BOMDYEING,2,1,0,99923.60038757324
BOROLTD,0,0,0,0.0
BORORENEW,2,2,0,309765.2471008301
BOSCHLTD,1,0,0,0.0
BPCL,2,1,0,100741.58241271973
BPL,2,2,0,308475.5538711548
BRIGADE,1,1,0,99923.24775695801
BRITANNIA,1,0,0,0.0
BRNL,1,0,1,-78607.6214996338
BROOKS,2,2,0,300521.84453964233
BSE,1,1,0,99978.66296386719
BSHSL,0,0,0,0.0
BSL,2,2,0,304830.0577888489
BSOFT,3,2,0,301483.654006958
BTML,0,0,0,0.0
BURNPUR,4,2,1,-19295.763708400715
BUTTERFLY,2,2,0,299571.556060791
BVCL,4,2,1,-17965.12066936493
BYKE,1,1,0,99992.00328826904
CALSOFT,5,3,2,-63112.27861747741
CAMLINFINE,2,1,0,99960.0
CAMPUS,0,0,0,0.0
CAMS,0,0,0,0.0
CANBK,2,1,1,-59847.42739868164
CANFINHOME,2,1,0,101118.5
CANTABIL,1,1,0,99996.83839273453
CAPACITE,2,1,1,-59779.0002746582
CAPLIPOINT,1,1,0,99990.72290039062
CAPTRUST,2,0,1,-79969.0
CARBORUNIV,1,1,0,99927.65219116211
CAREERP,0,0,0,0.0
CARERATING,2,0,1,-79021.75703125
CARTRADE,1,0,0,0.0
CARYSIL,1,0,0,0.0
CASTROLIND,2,1,0,99927.86125946045
CCHHL,2,1,1,-57088.72820720672
CCL,1,1,0,99884.39842224121
CDSL,2,1,0,99930.60125732422
CEATLTD,1,0,0,0.0
CELEBRITY,2,2,0,299988.79906511307
CENTENKA,3,2,0,300551.8175354004
CENTEXT,1,1,0,99995.05377674103
CENTRALBK,2,0,1,-79771.99802398682
CENTRUM,2,1,0,102467.3915939331
CENTUM,2,1,0,102333.0
CENTURYPLY,3,3,0,706601.9052658081
CENTURYTEX,4,3,1,61381.258361816406
CERA,2,1,0,99894.60131835938
CEREBRAINT,0,0,0,0.0
CESC,2,1,0,100244.38298034668
CGCL,2,2,0,303818.68549346924
CGPOWER,2,1,1,-59971.84694004059
CHALET,0,0,0,0.0
CHAMBLFERT,2,1,0,99915.74630737305
CHEMBOND,1,0,0,0.0
CHEMCON,1,0,0,0.0
CHEMFAB,0,0,0,0.0
CHEMPLASTS,0,0,0,0.0
CHENNPETRO,3,2,1,-19724.778959655756
CHEVIOT,0,0,0,0.0
CHOICEIN,0,0,0,0.0
CHOLAFIN,1,1,0,99798.45207214355
CHOLAHLDNG,1,0,0,0.0
CIEINDIA,2,1,0,99990.79824829102
CIGNITITEC,1,1,0,99964.0
CINELINE,3,2,1,-18547.00248146057
CINEVISTA,2,2,0,303500.7704586983
CIPLA,1,1,0,99678.60461425781
CLEAN,0,0,0,0.0
CLEDUCATE,1,1,0,100992.30339431763
CLSEL,0,0,0,0.0
CMSINFO,1,0,0,0.0
COALINDIA,1,0,0,0.0
COASTCORP,1,0,0,0.0
COCHINSHIP,1,1,0,99999.8959350586
COFFEEDAY,2,0,1,-79523.99677276611
COFORGE,2,1,0,98715.5966796875
COLPAL,1,0,0,0.0
COMPINFO,2,1,0,99992.24990844727
COMPUSOFT,1,1,0,99988.0
