Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss
NAVKARCORP,2,0,2,-361483.31410980213
NAVNETEDUL,3,1,1,607269.9320129396
NAZARA,0,0,0,0.0
NBCC,2,1,1,600027.8870910645
NBIFIN,1,0,1,-199859.6838867187
NCC,7,2,4,682741.6522277833
NCLIND,5,1,3,59943.54062347437
NDGL,1,0,1,-199941.0753662109
NDL,3,1,2,354418.80054206855
NDRAUTO,0,0,0,0.0
NDTV,3,1,2,295997.598010254
NECCLTD,0,0,0,0.0
NECLIFE,4,1,3,16268.915470695589
NELCAST,2,1,1,599991.092490387
NELCO,3,1,2,279997.6167236328
NEOGEN,0,0,0,0.0
NESCO,3,2,0,3008489.580444336
NESTLEIND,1,1,0,1002481.267578125
NETWORK18,1,0,1,-199993.99999999994
NEULANDLAB,4,1,3,29682.3176635743
NEWGEN,1,0,1,-191312.81085205075
NEXTMEDIA,4,0,4,-674814.292526722
NFL,5,2,2,1567670.0562156679
NGIL,1,0,1,-199976.83384094236
NGLFINE,0,0,0,0.0
NH,2,0,2,-359810.7200683592
NHPC,5,1,4,-150573.63064956653
NIACL,4,0,3,-482249.24961853016
NIBL,5,1,4,-293608.6034165381
NIITLTD,1,0,1,-199991.53231811523
NILAINFRA,2,0,2,-359998.30824565876
NILASPACES,0,0,0,0.0
NILKAMAL,0,0,0,0.0
NIPPOBATRY,0,0,0,0.0
NIRAJ,0,0,0,0.0
NITCO,4,3,1,5471832.357537842
NITINSPIN,5,2,2,1686720.414190674
NITIRAJ,3,0,3,-474894.9385459899
NKIND,1,0,1,-199996.7025749206
NLCINDIA,5,2,3,1074191.9749862673
NMDC,5,0,4,-590371.7165542602
NOCIL,2,0,2,-359987.6392425536
NOIDATOLL,1,0,1,-199998.67316570276
NORBTEAEXP,8,2,6,165671.6077147966
NRAIL,2,0,2,-359930.24030761706
NRBBEARING,5,1,3,43202.01291275036
NRL,0,0,0,0.0
NSIL,3,1,2,306951.63779296895
NTPC,2,0,2,-357863.4313720702
NUCLEUS,1,0,1,-199998.94325866696
NURECA,0,0,0,0.0
NUVOCO,1,0,0,0.0
NYKAA,0,0,0,0.0
OAL,0,0,0,0.0
OBCL,0,0,0,0.0
OBEROIRLTY,5,2,2,1580552.4193145754
OCCL,1,0,0,0.0
OFSS,6,2,3,1074873.4017578126
OIL,3,0,2,-359967.93906555173
OILCOUNTUB,2,0,2,-359991.5701652526
OLECTRA,5,2,3,1188892.4517267228
OMAXAUTO,5,1,3,33766.67004318256
OMAXE,3,0,2,-359988.65019073477
OMINFRAL,3,1,2,301235.6770404817
OMKARCHEM,3,1,2,294309.10363197356
ONELIFECAP,7,0,7,-797986.6765691757
ONEPOINT,3,1,2,379478.48678159725
ONGC,6,1,4,-180747.68679504388
ONMOBILE,3,0,3,-487992.0560020447
ONWARDTEC,4,1,2,301137.6334602357
OPTIEMUS,2,0,2,-359995.7104255676
ORBTEXP,1,0,1,-199995.80247192387
ORCHPHARMA,3,0,3,-487975.14138336177
ORICONENT,4,1,3,48578.595008087344
ORIENTALTL,3,0,3,-483093.88212194433
ORIENTBELL,4,2,2,1577528.0949584963
ORIENTCEM,4,0,4,-584573.8363830565
ORIENTELEC,1,1,0,999921.4700317383
ORIENTHOT,2,1,1,604413.2196846008
ORIENTLTD,3,1,2,318336.5868743897
ORIENTPPR,5,1,4,-231690.5088585374
