Open,High,Low,Close,Adj Close,Volume,5_EMA,Signal,StopLoss,Target,PnL,Ticker
37.900001525878906,39.650001525878906,32.29999923706055,36.54999923706055,35.35902786254883,439042,39.529062117564,,,,-15.599998474121094,20MICRONS
63.95000076293945,108.25,59.5,91.5,90.8842544555664,26601991,70.27778427855196,,,,64.80000305175781,20MICRONS
19.049999237060547,19.049999237060547,17.100000381469727,17.100000381469727,17.100000381469727,19018,19.657186253807378,,,,-5.25,21STCENMGM
14.300000190734863,14.300000190734863,12.149999618530273,12.300000190734863,12.300000190734863,119654,13.72366114869424,,,,-0.7000007629394531,21STCENMGM
24.5,30.850000381469727,23.450000762939453,29.399999618530273,29.399999618530273,133374,27.948768077291298,Buy,23.899999618530273,88.19999885559082,-5.5,21STCENMGM
416.0,424.5,252.5,271.0,271.0,2399853,393.1620807936499,,,,-100.0,3IINFOLTD
80.0,84.0,63.0,64.5,64.5,1420398,77.32402953785848,,,,-17.5,3IINFOLTD
33.5,39.5,26.5,33.5,33.5,6491563,34.98611488909667,,,,-9.5,3IINFOLTD
3402.050048828125,3499.949951171875,2880.0,2984.300048828125,2869.781005859375,58093,3362.844756124434,,,,-973.2001953125,3MINDIA
8850.0,12565.0,8797.849609375,10788.9501953125,10374.9365234375,87528,9019.63574769831,,,,6620.10009765625,3MINDIA
20805.0,24349.900390625,15700.0,18827.94921875,18105.44921875,297664,20677.301855805148,,,,-5738.25,3MINDIA
12.449999809265137,14.850000381469727,12.050000190734863,14.300000190734863,14.300000190734863,6106,13.806063062351416,Buy,12.050000190734863,42.90000057220459,-2.25,3PLAND
9.050000190734863,9.050000190734863,8.199999809265137,8.199999809265137,8.199999809265137,489,9.368878386762775,,,,-0.9499998092651367,3PLAND
6.900000095367432,7.75,6.900000095367432,7.349999904632568,7.349999904632568,7838,7.190656796940553,Buy,6.900000095367432,22.049999713897705,-0.4499998092651367,3PLAND
7.25,7.25,4.300000190734863,4.550000190734863,4.550000190734863,75055,5.915532186933975,,,,-1.549999713897705,3PLAND
3.549999952316284,7.199999809265137,3.4000000953674316,7.150000095367432,7.150000095367432,38812,5.8013476598300855,Buy,3.549999952316284,21.450000286102295,-3.6000001430511475,3PLAND
189.89999389648438,189.89999389648438,90.0,113.1500015258789,113.1500015258789,201834,153.59906450082,,,,-41.14643096923828,5PAISA
729.7999877929688,749.6500244140625,540.0499877929688,606.8499755859375,440.9560546875,3198986,724.5628203263249,,,,-208.79998779296875,63MOONS
485.8999938964844,485.8999938964844,102.0999984741211,113.9000015258789,83.93258666992188,185418583,525.6231203798528,,,,-208.79998779296875,63MOONS
221.10000610351562,243.10000610351562,135.8000030517578,174.5500030517578,136.1819305419922,24513435,232.58713167629398,,,,-124.14999389648438,63MOONS
189.0,206.0,162.0,173.1999969482422,142.80410766601562,7557813,187.80298487321113,,,,-39.55000305175781,63MOONS
116.4000015258789,130.6999969482422,92.5999984741211,104.75,93.3390884399414,7882844,113.90644152545912,,,,-20.70000457763672,63MOONS
86.30000305175781,96.0,70.6500015258789,83.3499984741211,74.27029418945312,12445600,85.4398652340401,,,,-12.75,63MOONS
72.5,86.25,62.04999923706055,75.25,70.33116912841797,4562768,76.41350282897966,,,,-16.650001525878906,63MOONS
106.94999694824219,233.8000030517578,105.5,228.14999389648438,226.61026000976562,13900035,140.13534838483457,,,,151.3000030517578,63MOONS
8.449999809265137,12.550000190734863,7.5,11.949999809265137,11.949999809265137,14622187,11.143885398823308,Buy,7.75,35.84999942779541,-4.199999809265137,A2ZINFRA
20.950000762939453,21.200000762939453,12.449999809265137,12.550000190734863,12.550000190734863,8924194,19.87665072684617,,,,-8.450000762939453,A2ZINFRA
12.850000381469727,12.850000381469727,9.25,10.350000381469727,10.350000381469727,9379916,13.298686739434661,,,,-7.499999046325684,A2ZINFRA
4.050000190734863,4.25,3.450000047683716,3.799999952316284,3.799999952316284,4323171,4.295282470512651,,,,-2.0,A2ZINFRA
3.8499999046325684,4.599999904632568,3.5999999046325684,3.6500000953674316,3.6500000953674316,19732503,3.995813574686584,,,,-1.25,A2ZINFRA
1.1733330488204956,1.9466660022735596,0.9399999976158142,1.9466660022735596,1.9466660022735596,750000,1.5107368103102823,Buy,1.1733330488204956,5.839998006820679,-0.773332953453064,AAKASH
9.0,12.710000038146973,8.954999923706055,12.550000190734863,12.550000190734863,2453630,8.657677738319745,,,,7.809999942779541,AAKASH
21.057140350341797,21.319046020507812,21.03095054626465,21.319046020507812,20.852436065673828,31500,22.446027620216565,Buy,21.03095054626465,63.95713806152344,-0.28809547424316406,AARON
27.25,67.94999694824219,27.25,61.54999923706055,61.0238037109375,482122,38.51796977105339,,,,45.04761505126953,AARON
33.125,47.375,32.25,44.712501525878906,42.220829010009766,3595160,34.71727155406191,,,,24.9375,AARTIDRUGS
114.76249694824219,134.8625030517578,106.75,116.36250305175781,114.82846069335938,1732516,128.09264661910368,,,,-24.42499542236328,AARTIDRUGS
114.9000015258789,138.9499969482422,108.05000305175781,134.4875030517578,132.71450805664062,1098448,126.97312207593845,Buy,108.5,403.46250915527344,-25.987503051757812,AARTIDRUGS
12.769346237182617,13.680575370788574,10.93474006652832,11.724471092224121,9.304666519165039,5046652,12.61910870664323,,,,-2.2841453552246094,AARTIIND
49.570823669433594,59.41209030151367,46.41189956665039,52.25590896606445,48.9665641784668,15394096,42.37950508574151,,,,38.708980560302734,AARTIIND
745.0,807.9000244140625,642.2999877929688,699.0999755859375,695.5266723632812,19958898,759.8158550959981,,,,-151.70001220703125,AARTIIND
