Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss
ATFL,4,0,4,-2734.4998168945312
ATGL,1,1,0,1174.4999694824219
ATLANTAA,4,1,3,-106.00003242492676
ATUL,1,1,0,23901.0009765625
ATULAUTO,2,0,2,-869.5002746582031
AUBANK,1,0,0,0.0
AURIONPRO,5,2,3,400.72662353515625
AUROPHARMA,4,1,3,-2879.9996948242188
AURUM,4,2,2,419.4871139526367
AUSOMENT,3,2,1,463.99998664855957
AUTOAXLES,7,3,4,9322.999725341797
AUTOIND,6,1,5,-862.9999732971191
AVADHSUGAR,3,2,1,2946.5000915527344
AVANTIFEED,3,2,1,5107.833404541016
AVG,1,1,0,510.0
AVROIND,5,3,2,811.7096710205078
AVTNPL,2,1,1,168.5000228881836
AWHCL,0,0,0,0.0
AWL,0,0,0,0.0
AXISBANK,1,0,1,-676.0000610351562
AXISCADES,4,2,2,370.5000305175781
AXITA,0,0,0,0.0
AYMSYNTEX,3,1,2,-113.49994659423828
BAFNAPH,1,0,1,-56.5000057220459
BAGFILMS,4,1,3,-46.499998569488525
BAJAJ-AUTO,2,1,0,16183.5009765625
BAJAJCON,3,2,0,2733.4999084472656
BAJAJELEC,4,1,2,815.3131103515625
BAJAJFINSV,3,2,0,7747.650451660156
BAJAJHCARE,1,0,0,0.0
BAJAJHIND,6,1,5,-188.2503318786621
BAJAJHLDNG,2,2,0,33505.0
BAJFINANCE,1,1,0,28310.0
BALAJITELE,5,1,3,78.9999771118164
BALAMINES,3,1,2,890.4998779296875
BALAXI,2,1,1,27.000000476837158
BALKRISHNA,2,1,1,366.4999771118164
BALKRISIND,2,0,1,-2515.0
BALMLAWRIE,5,1,3,159.3572998046875
BALPHARMA,2,0,2,-273.0000400543213
BALRAMCHIN,3,3,0,2592.9999923706055
BANARBEADS,4,1,3,359.4999694824219
BANARISUG,2,2,0,20149.500122070312
BANCOINDIA,4,2,2,1537.9999923706055
BANDHANBNK,2,0,1,-1591.500244140625
BANG,5,0,5,-336.9999599456787
BANKA,3,1,2,178.40002059936523
BANKBARODA,4,1,3,-473.7998962402344
BANKINDIA,5,2,3,-42.00004577636719
BANSWRAS,4,1,3,-82.24998474121094
BARBEQUE,1,0,0,0.0
BASF,3,1,2,4152.0001220703125
BASML,2,1,1,251.05247497558594
BATAINDIA,1,1,0,4012.0001220703125
BAYERCROP,1,0,1,-2463.499755859375
BBL,4,0,4,-3591.0000610351562
BBOX,2,1,1,9.499998092651367
BBTC,6,2,3,-1767.999038696289
BBTCL,1,1,0,412.00000762939453
BCG,2,0,2,-31.439998149871826
BCLIND,1,0,0,0.0
BCONCEPTS,2,1,1,113.50000381469727
BDL,0,0,0,0.0
BEARDSELL,1,1,0,79.29718971252441
BECTORFOOD,1,0,0,0.0
BEDMUTHA,3,1,2,0.5000019073486328
BEL,3,2,1,342.58585929870605
BEML,6,1,4,-1542.0550537109375
BEPL,3,1,2,-76.00001335144043
BERGEPAINT,2,1,0,686.6071319580078
BFINVEST,3,0,2,-2261.5000915527344
BFUTILITIE,6,3,3,4178.000030517578
BGRENERGY,6,1,5,-2806.999855041504
BHAGCHEM,0,0,0,0.0
BHAGERIA,1,0,1,-311.49993896484375
BHAGYANGR,2,1,1,50.5000114440918
BHANDARI,2,1,1,14.467650055885315
BHARATFORG,4,1,3,1291.25
