Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
UNICHEMLAB,2,1,1,-463,-0.46,"133.0, 322.75","162.0500030517578, 239.85000610351562"
UNIONBANK,0,0,0,0,0.0,,
UNITECH,0,0,0,0,0.0,,
UNIVCABLES,1,0,1,-9099,-9.1,108.0,76.0
UNOMINDA,2,1,1,13114,13.11,"12.011238098144531, 271.04998779296875","8.10920238494873, 481.0"
UPL,1,1,0,31898,31.9,122.96666717529297,254.43333435058594
USHAMART,0,0,0,0,0.0,,
UTIAMC,0,0,0,0,0.0,,
V2RETAIL,1,1,0,10823,10.82,32.150001525878906,42.29999923706055
VADILALIND,0,0,0,0,0.0,,
VAIBHAVGBL,1,0,1,-3398,-3.4,137.82000732421875,121.87999725341797
VAKRANGEE,1,1,0,184040,184.04,6.7310380935668945,47.870853424072266
VARROC,0,0,0,0,0.0,,
VBL,0,0,0,0,0.0,,
VEDL,3,0,3,-21323,-21.32,"277.1499938964844, 308.8999938964844, 287.6499938964844","201.9499969482422, 248.3000030517578, 223.0"
VENKEYS,2,2,0,94119,94.12,"268.76666259765625, 512.75","273.1000061035156, 2185.10009765625"
VESUVIUS,2,2,0,14915,14.92,"295.3500061035156, 512.0999755859375","311.0, 699.1500244140625"
VGUARD,0,0,0,0,0.0,,
VIDHIING,1,1,0,44355,44.35,137.64999389648438,343.54998779296875
VINATIORGA,0,0,0,0,0.0,,
VINDHYATEL,1,0,1,-4388,-4.39,254.89999389648438,221.75
VIPIND,2,1,1,12513,12.51,"51.75, 639.4500122070312","77.19999694824219, 572.7000122070312"
VISHNU,1,1,0,101407,101.41,71.62999725341797,312.0
VMART,1,0,1,-8555,-8.56,3549.300048828125,2485.199951171875
VOLTAMP,1,0,1,-802,-0.8,709.9000244140625,685.8499755859375
VOLTAS,2,1,1,-9250,-9.25,"245.1999969482422, 218.0500030517578","164.60000610351562, 223.39999389648438"
VRLLOG,1,1,0,8951,8.95,444.0,583.0999755859375
VSSL,0,0,0,0,0.0,,
VSTIND,1,1,0,54600,54.6,528.6500244140625,1515.949951171875
VSTTILLERS,1,1,0,2677,2.68,2028.800048828125,2246.699951171875
VTL,3,1,2,69429,69.43,"51.560001373291016, 66.77999877929688, 368.4200134277344","48.68000030517578, 244.44000244140625, 286.79998779296875"
WABAG,0,0,0,0,0.0,,
WEBELSOLAR,2,1,1,-11151,-11.15,"39.5, 64.5999984741211","17.049999237060547, 78.19999694824219"
WELCORP,1,0,1,-9070,-9.07,114.75,79.5999984741211
WELENT,2,1,1,59944,59.94,"167.0, 37.400001525878906","109.1500015258789, 125.19999694824219"
WELSPUNLIV,1,0,1,-1866,-1.87,96.4000015258789,90.8499984741211
WENDT,1,1,0,20382,20.38,937.4500122070312,1568.0999755859375
WESTLIFE,0,0,0,0,0.0,,
WHEELS,1,0,1,-6727,-6.73,81.0862045288086,64.66947174072266
WIPRO,2,1,1,1822,1.82,"144.18753051757812, 215.643798828125","156.60003662109375, 201.9750518798828"
WOCKPHARMA,2,0,2,-22706,-22.71,"342.4149169921875, 1529.9664306640625","254.8407745361328, 700.7314453125"
WONDERLA,0,0,0,0,0.0,,
WSTCSTPAPR,2,1,1,16790,16.79,"97.6500015258789, 334.25","75.44999694824219, 595.4000244140625"
XPROINDIA,3,1,2,111984,111.98,"47.900001525878906, 39.36666488647461, 99.16666412353516","32.666664123535156, 25.66666603088379, 545.9500122070312"
YESBANK,1,0,1,-3194,-3.19,59.130001068115234,51.20000076293945
ZEEL,1,0,1,-5566,-5.57,138.10000610351562,115.1500015258789
ZENSARTECH,3,0,3,-23353,-23.35,"29.645000457763672, 334.5899963378906, 477.79998779296875","29.1299991607666, 201.6999969482422, 323.1000061035156"
ZENTEC,0,0,0,0,0.0,,
ZFCVINDIA,2,1,1,4651,4.65,"1068.3499755859375, 7423.0","1391.199951171875, 6301.7001953125"
ZYDUSLIFE,2,1,1,19663,19.66,"75.67333221435547, 571.1500244140625","141.1300048828125, 406.5"
ZYDUSWELL,1,1,0,7812,7.81,1043.199951171875,1299.3499755859375
