Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
IFCI,2,0,2,-24889,-24.89,"69.1500015258789, 16.25","45.79999923706055, 8.649999618530273"
IFGLEXPOR,0,0,0,0,0.0,,
IGARASHI,0,0,0,0,0.0,,
IGL,0,0,0,0,0.0,,
IGPL,1,0,1,-9085,-9.08,697.9500122070312,483.70001220703125
IIFL,1,1,0,90557,90.56,58.71057891845703,238.5572967529297
IIFLSEC,0,0,0,0,0.0,,
IITL,2,0,2,-26546,-26.55,"143.64999389648438, 130.35000610351562","73.0, 68.05000305175781"
IL&FSENGG,0,0,0,0,0.0,,
IMAGICAA,0,0,0,0,0.0,,
IMFA,0,0,0,0,0.0,,
IMPAL,1,1,0,96931,96.93,135.6666717529297,573.3666381835938
INCREDIBLE,0,0,0,0,0.0,,
INDBANK,0,0,0,0,0.0,,
INDHOTEL,0,0,0,0,0.0,,
INDIACEM,0,0,0,0,0.0,,
INDIAGLYCO,1,0,1,-3342,-3.34,642.5999755859375,582.4000244140625
INDIAMART,0,0,0,0,0.0,,
INDIANB,0,0,0,0,0.0,,
INDIANHUME,2,1,1,57195,57.2,"86.4000015258789, 96.7249984741211","57.5, 312.54998779296875"
INDIGO,0,0,0,0,0.0,,
INDIGOPNTS,0,0,0,0,0.0,,
INDNIPPON,1,0,1,-9824,-9.82,521.0999755859375,360.1499938964844
INDOCO,1,1,0,2190,2.19,304.04998779296875,327.6000061035156
INDORAMA,3,0,3,-30304,-30.3,"67.44999694824219, 39.900001525878906, 48.04999923706055","34.75, 26.950000762939453, 39.29999923706055"
INDOSTAR,0,0,0,0,0.0,,
INDOTECH,0,0,0,0,0.0,,
INDOTHAI,0,0,0,0,0.0,,
INDOWIND,1,1,0,1217,1.22,9.674896240234375,9.199999809265137
INDRAMEDCO,1,1,0,4218,4.22,45.5,51.75
INDSWFTLAB,1,0,1,-1354,-1.35,80.69999694824219,78.30000305175781
INDTERRAIN,1,1,0,138309,138.31,27.8700008392334,156.89999389648438
INDUSINDBK,1,0,1,-13588,-13.59,94.69999694824219,54.04999923706055
INDUSTOWER,0,0,0,0,0.0,,
INFIBEAM,1,0,1,-13091,-13.09,24.975000381469727,14.75
INFOBEAN,0,0,0,0,0.0,,
INFY,2,1,1,-813,-0.81,"478.10626220703125, 686.4000244140625","498.75, 641.5"
INGERRAND,1,0,1,-9471,-9.47,899.25,608.5499877929688
INOXWIND,0,0,0,0,0.0,,
INSECTICID,1,0,1,-12738,-12.74,573.1666870117188,329.5333251953125
INSPIRISYS,2,0,2,-26739,-26.74,"68.05000305175781, 85.5","41.099998474121094, 44.29999923706055"
INTELLECT,0,0,0,0,0.0,,
INTENTECH,1,0,1,-13750,-13.75,108.8499984741211,57.849998474121094
INVENTURE,0,0,0,0,0.0,,
IOB,0,0,0,0,0.0,,
IOC,1,1,0,22258,22.26,59.900001525878906,103.69999694824219
IOLCP,1,0,1,-16103,-16.1,60.29999923706055,28.600000381469727
IPCALAB,1,1,0,45277,45.28,134.60000610351562,334.4750061035156
IRB,1,0,1,-8797,-8.8,27.2450008392334,18.649999618530273
IRCON,0,0,0,0,0.0,,
IRCTC,0,0,0,0,0.0,,
IRFC,0,0,0,0,0.0,,
IRISDOREME,0,0,0,0,0.0,,
ISEC,0,0,0,0,0.0,,
ISGEC,0,0,0,0,0.0,,
ISMTLTD,0,0,0,0,0.0,,
ITC,0,0,0,0,0.0,,
