Ticker,MA1,MA2,RSI,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
ITI,14,30,14,2,0,2,-16948,-16.95,"29.049999237060547, 124.8499984741211","20.149999618530273, 94.30000305175781"
IVC,14,30,14,1,0,1,-13862,-13.86,31.350000381469727,17.100000381469727
IVP,14,30,14,2,1,1,35349,35.35,"60.099998474121094, 129.25","132.8000030517578, 119.05000305175781"
IWEL,14,30,14,0,0,0,0,0.0,,
IZMO,14,30,14,2,0,2,-8876,-8.88,"81.80000305175781, 76.1500015258789","61.79999923706055, 71.25"
J&KBANK,14,30,14,1,0,1,-3039,-3.04,75.625,67.55999755859375
JAGRAN,14,30,14,2,1,1,9718,9.72,"117.5999984741211, 119.69999694824219","109.5999984741211, 165.10000610351562"
JAGSNPHARM,14,30,14,1,1,0,20451,20.45,20.450000762939453,35.5
JAIBALAJI,14,30,14,1,0,1,-14548,-14.55,30.5,15.699999809265137
JAICORPLTD,14,30,14,1,0,1,-7049,-7.05,153.8000030517578,117.80000305175781
JAMNAAUTO,14,30,14,1,1,0,86538,86.54,14.40999984741211,56.0
JASH,14,30,14,0,0,0,0,0.0,,
JAYAGROGN,14,30,14,4,1,3,18346,18.35,"49.349998474121094, 70.82499694824219, 98.1500015258789, 290.6499938964844","39.775001525878906, 48.92499923706055, 246.10000610351562, 172.6999969482422"
JAYBARMARU,14,30,14,3,1,2,56497,56.5,"13.859999656677246, 21.799999237060547, 75.58999633789062","12.109999656677246, 70.9800033569336, 63.2599983215332"
JAYNECOIND,14,30,14,1,0,1,-14883,-14.88,41.29999923706055,22.549999237060547
JAYSREETEA,14,30,14,2,1,1,8739,8.74,"97.82499694824219, 97.6500015258789","136.8000030517578, 85.5999984741211"
JBCHEPHARM,14,30,14,1,0,1,-2260,-2.26,35.474998474121094,34.775001525878906
JBMA,14,30,14,2,1,1,-359,-0.36,"6.449999809265137, 110.37999725341797","5.610000133514404, 114.77999877929688"
JCHAC,14,30,14,1,0,1,-12888,-12.89,262.6000061035156,150.0
JETAIRWAYS,14,30,14,2,0,2,-24499,-24.5,"621.1500244140625, 679.7000122070312","353.6000061035156, 412.8500061035156"
JINDALPHOT,14,30,14,2,0,2,-24252,-24.25,"114.38176727294922, 118.81320190429688","82.42475891113281, 63.28094482421875"
JINDALPOLY,14,30,14,2,1,1,20495,20.5,"281.4563293457031, 373.8999938964844","176.41990661621094, 796.4500122070312"
JINDALSAW,14,30,14,2,0,2,-21450,-21.45,"212.39999389648438, 139.10000610351562","152.6999969482422, 78.80000305175781"
JINDALSTEL,14,30,14,1,1,0,3167,3.17,522.0416870117188,587.8499755859375
JINDRILL,14,30,14,0,0,0,0,0.0,,
JINDWORLD,14,30,14,1,1,0,60759,60.76,92.05000305175781,278.95001220703125
JISLDVREQS,14,30,14,2,0,2,-20729,-20.73,"72.8499984741211, 62.849998474121094","38.95000076293945, 49.150001525878906"
